time,close,Volume
1982-12-31,67.1,NaN
1983-01-31,66.52,NaN
1983-02-28,66.19,NaN
1983-03-31,65.81,NaN
1983-04-30,65.98,NaN
1983-05-31,66.7,NaN
1983-06-30,66.72,NaN
1983-07-31,66.89,NaN
1983-08-31,66.88,NaN
1983-09-30,66.84,NaN
1983-10-31,67.28,NaN
1983-11-30,67.55,NaN
1983-12-31,67.69,NaN
1984-01-31,67.69,NaN
1984-02-29,67.45,NaN
1984-03-31,67.39,NaN
1984-04-30,67.39,NaN
1984-05-31,67.41,NaN
1984-06-30,67.62,NaN
1984-07-31,67.53,NaN
1984-08-31,67.53,NaN
1984-09-30,67.58,NaN
1984-10-31,68.58,NaN
1984-11-30,68.48,NaN
1984-12-31,68.46,NaN
1985-01-31,69.44,NaN
1985-02-28,69.7,NaN
1985-03-31,70.32,NaN
1985-04-30,70.44,NaN
1985-05-31,71.04,NaN
1985-06-30,71.35,NaN
1985-07-31,71.24,NaN
1985-08-31,70.47,NaN
1985-09-30,70.24,NaN
1985-10-31,71.11,NaN
1985-11-30,70.99,NaN
1985-12-31,70.68,NaN
1986-01-31,70.98,NaN
1986-02-28,69.8,NaN
1986-03-31,69.05,NaN
1986-04-30,68.78,NaN
1986-05-31,68.74,NaN
1986-06-30,68.97,NaN
1986-07-31,68.4,NaN
1986-08-31,67.96,NaN
1986-09-30,68.59,NaN
1986-10-31,68.93,NaN
1986-11-30,68.54,NaN
1986-12-31,68.54,NaN
1987-01-31,69.37,NaN
1987-02-28,69.41,NaN
1987-03-31,69.24,NaN
1987-04-30,69.55,NaN
1987-05-31,69.65,NaN
1987-06-30,69.66,NaN
1987-07-31,69.66,NaN
1987-08-31,69.66,NaN
1987-09-30,69.43,NaN
1987-10-31,70.16,NaN
1987-11-30,70.14,NaN
1987-12-31,69.86,NaN
1988-01-31,70.42,NaN
1988-02-29,70.4,NaN
1988-03-31,70.36,NaN
1988-04-30,70.46,NaN
1988-05-31,70.69,NaN
1988-06-30,70.87,NaN
1988-07-31,70.86,NaN
1988-08-31,70.86,NaN
1988-09-30,70.86,NaN
1988-10-31,71.32,NaN
1988-11-30,71.26,NaN
1988-12-31,71.43,NaN
1989-01-31,73.31,NaN
1989-02-28,73.61,NaN
1989-03-31,73.67,NaN
1989-04-30,75.35,NaN
1989-05-31,75.95,NaN
1989-06-30,75.52,NaN
1989-07-31,74.98,NaN
1989-08-31,74.69,NaN
1989-09-30,74.89,NaN
1989-10-31,75.91,NaN
1989-11-30,75.42,NaN
1989-12-31,75.56,NaN
1990-01-31,77.92,NaN
1990-02-28,77.77,NaN
1990-03-31,77.51,NaN
1990-04-30,77.8,NaN
1990-05-31,77.8,NaN
1990-06-30,77.86,NaN
1990-07-31,77.88,NaN
1990-08-31,78.49,NaN
1990-09-30,79.88,NaN
1990-10-31,80.97,NaN
1990-11-30,79.98,NaN
