time,close,Volume
1950-01-31,21.17,NaN
1950-02-28,21.09,NaN
1950-03-31,21.05,NaN
1950-04-30,20.99,NaN
1950-05-31,21.08,NaN
1950-06-30,21.11,NaN
1950-07-31,21.11,NaN
1950-08-31,21.24,NaN
1950-09-30,21.32,NaN
1950-10-31,21.43,NaN
1950-11-30,21.44,NaN
1950-12-31,21.43,NaN
1951-01-31,21.63,NaN
1951-02-28,21.69,NaN
1951-03-31,21.68,NaN
1951-04-30,21.92,NaN
1951-05-31,22.13,NaN
1951-06-30,22.17,NaN
1951-07-31,22.29,NaN
1951-08-31,22.43,NaN
1951-09-30,22.49,NaN
1951-10-31,22.64,NaN
1951-11-30,22.76,NaN
1951-12-31,22.79,NaN
1952-01-31,22.72,NaN
1952-02-29,22.76,NaN
1952-03-31,22.76,NaN
1952-04-30,22.67,NaN
1952-05-31,22.76,NaN
1952-06-30,22.83,NaN
1952-07-31,22.77,NaN
1952-08-31,22.83,NaN
1952-09-30,22.87,NaN
1952-10-31,22.8,NaN
1952-11-30,22.81,NaN
1952-12-31,22.79,NaN
1953-01-31,22.64,NaN
1953-02-28,22.59,NaN
1953-03-31,22.56,NaN
1953-04-30,22.49,NaN
1953-05-31,22.59,NaN
1953-06-30,22.61,NaN
1953-07-31,22.59,NaN
1953-08-31,22.61,NaN
1953-09-30,22.68,NaN
1953-10-31,22.71,NaN
1953-11-30,22.71,NaN
1953-12-31,22.67,NaN
1954-01-31,22.63,NaN
1954-02-28,22.59,NaN
1954-03-31,22.57,NaN
1954-04-30,22.6,NaN
1954-05-31,22.67,NaN
1954-06-30,22.72,NaN
1954-07-31,22.79,NaN
1954-08-31,22.88,NaN
1954-09-30,22.92,NaN
1954-10-31,22.99,NaN
1954-11-30,23.05,NaN
1954-12-31,23.04,NaN
1955-01-31,22.97,NaN
1955-02-28,22.89,NaN
1955-03-31,22.87,NaN
1955-04-30,22.88,NaN
1955-05-31,22.96,NaN
1955-06-30,22.96,NaN
1955-07-31,22.97,NaN
1955-08-31,23.03,NaN
1955-09-30,23.06,NaN
1955-10-31,23.11,NaN
1955-11-30,23.13,NaN
