"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"14/08/2025","235.63","233.12","235.84","233.10","","1.19%"
"13/08/2025","232.86","231.10","233.19","231.10","","0.86%"
"12/08/2025","230.87","230.57","231.76","229.88","","0.32%"
"11/08/2025","230.13","229.33","230.47","227.28","","0.51%"
"08/08/2025","228.97","224.99","229.18","224.72","","1.89%"
"07/08/2025","224.73","220.82","224.83","220.82","","1.97%"
"06/08/2025","220.38","217.89","220.38","217.89","","1.31%"
"05/08/2025","217.53","218.56","219.25","216.21","","-0.21%"
"04/08/2025","217.98","212.64","218.00","212.64","","2.68%"
"01/08/2025","212.29","218.93","218.93","210.86","","-3.39%"
"31/07/2025","219.74","219.31","222.12","218.84","","0.74%"
"30/07/2025","218.13","214.39","218.13","213.58","","1.38%"
"29/07/2025","215.17","211.68","216.06","211.68","","1.72%"
"28/07/2025","211.53","212.29","214.74","211.16","","-0.09%"
"25/07/2025","211.72","211.72","212.44","210.48","","-0.17%"
"24/07/2025","212.08","209.41","212.42","209.41","","2.17%"
"23/07/2025","207.57","204.83","208.10","204.83","","1.87%"
"22/07/2025","203.75","204.01","204.67","202.15","","-0.40%"
"21/07/2025","204.56","204.19","204.62","202.08","","0.09%"
"18/07/2025","204.37","204.44","205.13","203.68","","0.11%"
"17/07/2025","204.14","203.51","204.14","202.42","","0.86%"
"16/07/2025","202.39","202.42","204.42","202.15","","-0.14%"
"15/07/2025","202.67","205.38","206.24","202.14","","-1.11%"
"14/07/2025","204.94","202.42","205.10","201.44","","0.38%"
"11/07/2025","204.16","207.42","207.50","202.88","","-1.77%"
"10/07/2025","207.84","211.25","211.57","207.84","","-1.63%"
"09/07/2025","211.28","207.34","211.28","207.34","","2.65%"
"08/07/2025","205.82","204.25","206.60","204.25","","0.80%"
"07/07/2025","204.19","201.01","204.19","200.98","","1.61%"
"04/07/2025","200.96","203.31","203.66","199.91","","-1.33%"
"03/07/2025","203.67","201.83","203.67","200.76","","1.12%"
"02/07/2025","201.42","199.28","202.30","199.28","","1.50%"
"01/07/2025","198.44","200.93","201.01","198.13","","-1.27%"
"30/06/2025","200.99","201.84","201.92","198.43","","-0.27%"
"27/06/2025","201.53","198.79","201.53","198.54","","1.72%"
"26/06/2025","198.13","198.58","199.66","197.41","","-0.06%"
"25/06/2025","198.25","201.07","201.08","197.06","","-1.26%"
"24/06/2025","200.79","197.07","201.39","197.07","","2.94%"
"23/06/2025","195.05","196.36","197.54","193.73","","-1.07%"
"20/06/2025","197.15","196.28","199.44","196.28","","0.78%"
"19/06/2025","195.63","199.33","199.33","195.63","","-1.95%"
"18/06/2025","199.52","198.14","199.87","197.36","","0.63%"
"17/06/2025","198.28","202.03","202.03","197.50","","-2.29%"
"16/06/2025","202.93","198.38","202.93","198.38","","2.44%"
"13/06/2025","198.09","199.66","199.66","196.60","","-1.46%"
"12/06/2025","201.03","199.74","201.82","198.23","","0.10%"
"11/06/2025","200.83","200.59","202.04","199.54","","0.14%"
"10/06/2025","200.54","204.23","204.30","200.43","","-1.90%"
"09/06/2025","204.43","204.19","204.73","203.07","","0.11%"
"06/06/2025","204.21","202.93","204.91","202.02","","0.59%"
"05/06/2025","203.02","199.93","203.02","199.36","","1.49%"
"04/06/2025","200.03","202.37","203.24","199.07","","-0.75%"
