time,close,Volume
2018-02-22,55.9,4275917
2018-02-23,56.9,3208089
2018-02-26,58.18,3922225
2018-02-27,57.99,4572649
2018-02-28,57.03,5078470
2018-03-01,55.51,6691126
2018-03-02,55.37,5399043
2018-03-05,56.41,4397289
2018-03-06,56.87,7012099
2018-03-07,56.9,5049143
2018-03-08,55.69,8016414
2018-03-09,57.23,6573563
2018-03-12,56.44,4794216
2018-03-13,55.96,5151543
2018-03-14,54.87,5617550
2018-03-15,54.85,4448612
2018-03-16,55,10585098
2018-03-19,54.34,5127624
2018-03-20,54.43,3676163
2018-03-21,54.61,4947087
2018-03-22,52.02,6626579
2018-03-23,50.73,7548214
2018-03-26,52.14,4751554
2018-03-27,50.72,6267213
2018-03-28,50.61,6496089
2018-03-29,51.53,3896077
2018-04-02,50.15,6779577
2018-04-03,50.99,4487832
2018-04-04,51.48,3842980
2018-04-05,51.73,2851549
2018-04-06,50.35,5118133
2018-04-09,50.52,4566981
2018-04-10,51.38,4669862
2018-04-11,50.95,3782687
2018-04-12,52.01,3787012
2018-04-13,51.57,4330662
2018-04-16,51.99,3316222
2018-04-17,52.19,4630943
2018-04-18,52.26,4211126
2018-04-19,55.24,7839067
2018-04-20,55.42,7005160
2018-04-23,55.73,6067481
2018-04-24,55.39,4794311
2018-04-25,55.4,5199469
2018-04-26,55.44,4369113
2018-04-27,55.32,3040831
2018-04-30,54.51,3629778
2018-05-01,54.19,4325694
2018-05-02,53.99,4479456
2018-05-03,53.85,4004289
2018-05-04,54.49,2539075
2018-05-07,55.59,4555103
2018-05-08,56.08,5623605
2018-05-09,56.86,4749302
2018-05-10,57.27,4017409
2018-05-11,57.18,3273072
2018-05-14,57.3,2755763
2018-05-15,56.89,4292696
2018-05-16,57.06,3119941
2018-05-17,57.28,3547193
2018-05-18,56.96,3819286
2018-05-21,57.72,4005374
2018-05-22,57.59,3884257
2018-05-23,57.45,3249657
2018-05-24,57.24,4098671
2018-05-25,57,3434630
2018-05-29,55.19,8703149
2018-05-30,55.4,6970542
2018-05-31,54.75,7143716
2018-06-01,55.35,5086520
2018-06-04,55.77,4676359
2018-06-05,55.59,5023269
2018-06-06,56.57,3792948
2018-06-07,57.65,7909988
2018-06-08,57.56,3632681
2018-06-11,57.7,3233673
2018-06-12,57.67,3280028
2018-06-13,57.32,3446164
2018-06-14,56.8,3432275
2018-06-15,56.93,6615435
2018-06-18,57.24,4203339
2018-06-19,57.34,4686771
2018-06-20,57.37,3766852
2018-06-21,57.15,4259136
2018-06-22,56.75,5272388
2018-06-25,55.67,4566306
2018-06-26,55.18,3655639
2018-06-27,54.2,4321032
2018-06-28,54.3,4020374
2018-06-29,53.93,7719522
2018-07-02,54.09,4303086
2018-07-03,53.19,2600869
2018-07-05,53.2,2976629
2018-07-06,53.2,3292898
2018-07-09,54.11,2849579
