time,close,Volume
2018-11-20,62.53,21023988
2018-11-21,62.87,12380151
2018-11-23,61.75,7316465
2018-11-26,63.73,19065131
2018-11-27,63.46,12870620
2018-11-28,65.58,17718983
2018-11-29,64.9,12914242
2018-11-30,64.79,14207818
2018-12-03,65.16,14263157
2018-12-04,62.26,27104528
2018-12-06,60.06,37802564
2018-12-07,58.35,24282077
2018-12-10,57.07,30695769
2018-12-11,56.22,23712482
2018-12-12,55.98,24941604
2018-12-13,55.77,27670718
2018-12-14,55.02,22839309
2018-12-17,54.25,26212523
2018-12-18,53.93,27301984
2018-12-19,52.82,31483121
2018-12-20,52.27,39800032
2018-12-21,50.24,52332573
2018-12-24,49.26,21970833
2018-12-26,51.44,32005641
2018-12-27,51.77,28573431
2018-12-28,51.83,23176897
2018-12-31,52.06,19317506
2019-01-02,53.53,21664912
2019-01-03,52.56,21183012
2019-01-04,55.13,24205106
2019-01-07,55.61,20634140
2019-01-08,55.46,18840135
2019-01-09,56.38,19359050
2019-01-10,56.44,16910049
2019-01-11,56.69,23087497
2019-01-14,58.93,34783396
2019-01-15,61.38,42694236
2019-01-16,62.19,27628897
2019-01-17,62.47,22728884
2019-01-18,63.12,19947263
2019-01-22,61.85,24608659
2019-01-23,62.13,16819784
2019-01-24,62.71,14962224
2019-01-25,64.02,15827738
2019-01-28,63.85,12683535
2019-01-29,63.21,13472044
2019-01-30,64.22,15929637
2019-01-31,64.46,19442632
2019-02-01,63.67,16991809
2019-02-04,64.06,11515532
2019-02-05,63.81,13310928
2019-02-06,63.89,13774373
2019-02-07,62.81,17922418
2019-02-08,62.01,15770774
2019-02-11,61.61,14614108
2019-02-12,62.67,14347375
2019-02-13,63.04,10710490
2019-02-14,62.42,12855299
2019-02-15,64.27,17908930
2019-02-19,64.38,11013857
2019-02-20,64.64,10545040
2019-02-21,64.32,10696370
2019-02-22,64.14,14003814
2019-02-25,64.53,12853042
2019-02-26,64.12,12912844
2019-02-27,64.4,13495687
2019-02-28,63.98,14209279
2019-03-01,64.47,14375999
2019-03-04,63.75,15786620
2019-03-05,62.93,18754938
2019-03-06,62.51,12711218
2019-03-07,61.9,15788882
2019-03-08,62.06,14336242
2019-03-11,62.31,14167594
2019-03-12,62.81,14772224
2019-03-13,63.65,13781080
2019-03-14,64.11,12193611
2019-03-15,65.19,37840256
2019-03-18,65.93,15601081
2019-03-19,65.63,12723634
2019-03-20,64.3,17494005
2019-03-21,63.91,18638315
2019-03-22,60.98,27527409
2019-03-25,60.33,20899330
2019-03-26,61.22,14740326
2019-03-27,60.73,16359644
2019-03-28,61.98,12081006
2019-03-29,62.22,13406277
2019-04-01,64.36,17736349
2019-04-02,64.42,9915808
2019-04-03,65.06,11560760
2019-04-04,65.82,11915953
2019-04-05,65.55,11062395
2019-04-08,66.07,10466431
2019-04-09,65.2,10221046
2019-04-10,65.52,12293298
2019-04-11,65.91,11358655
2019-04-12,67.42,19238667
2019-04-15,67.38,19493878
2019-04-16,69.31,18635743
2019-04-17,70.35,20509008
2019-04-18,69.67,13513780
2019-04-22,69.09,13195566
2019-04-23,69.2,13205192
2019-04-24,68.83,9699865
