time,close,Volume
2021-12-10,9.53,3642504
2021-12-13,9.36,5771259
2021-12-14,9.39,5310564
2021-12-15,9.38,5655127
2021-12-16,9.53,4221404
2021-12-17,9.38,6603140
2021-12-20,9.14,6502631
2021-12-21,9.43,6299524
2021-12-22,9.53,2937825
2021-12-23,9.69,2939934
2021-12-27,9.75,2859752
2021-12-28,9.75,2997097
2021-12-29,9.63,2102921
2021-12-30,9.63,2537003
2021-12-31,9.64,2648432
2022-01-03,9.92,5736601
2022-01-04,10.04,8745272
2022-01-05,9.94,4195495
2022-01-06,10.19,4457005
2022-01-07,10.19,4721751
2022-01-10,10.21,6069485
2022-01-11,10.23,6123836
2022-01-12,10.27,3728339
2022-01-13,10.51,4637784
2022-01-14,10.55,4942394
2022-01-18,10.03,7068000
2022-01-19,9.87,7246140
2022-01-20,9.86,7810582
2022-01-21,9.68,7188974
2022-01-24,9.24,14470086
2022-01-25,9.06,14937412
2022-01-26,9.25,10643063
2022-01-27,9.21,12122793
2022-01-28,9.31,6602724
2022-01-31,9.53,5988050
2022-02-01,9.76,6195125
2022-02-02,9.73,4532440
2022-02-03,9.59,4369087
2022-02-04,9.64,5479826
2022-02-07,9.74,5391429
2022-02-08,9.93,6635947
2022-02-09,10.01,5240016
2022-02-10,9.08,24884833
2022-02-11,8.95,17646707
2022-02-14,8.91,11997280
2022-02-15,9.08,5640944
2022-02-16,9.11,4998333
2022-02-17,8.97,12746011
2022-02-18,8.93,9246792
2022-02-22,8.58,13316584
2022-02-23,8.47,10045735
2022-02-24,8.25,18773966
2022-02-25,8.44,12179771
2022-02-28,8.28,18768460
2022-03-01,7.83,18997665
2022-03-02,7.97,14479216
2022-03-03,7.89,12670863
2022-03-04,7.38,21514503
2022-03-07,6.89,25129724
2022-03-08,7.27,25163456
2022-03-09,7.69,16010207
2022-03-10,7.35,20857552
2022-03-11,7.38,16505686
2022-03-14,7.63,15190786
2022-03-15,7.59,14988846
2022-03-16,7.98,16580062
2022-03-17,8.01,9859268
2022-03-18,8.15,9640220
2022-03-21,8.14,11540595
2022-03-22,8.25,8832542
2022-03-23,8.09,7727772
2022-03-24,8.12,7632115
2022-03-25,8.15,7987131
2022-03-28,7.94,16518019
2022-03-29,8.22,11600437
2022-03-30,8.04,8942662
2022-03-31,7.85,8690534
2022-04-01,7.99,8200517
2022-04-04,8.08,8274147
2022-04-05,7.79,11194564
2022-04-06,7.68,12378087
2022-04-07,7.72,13364179
2022-04-08,7.73,8015407
2022-04-11,7.7,9055691
2022-04-12,7.55,9387383
2022-04-13,7.64,11515574
2022-04-14,7.51,10755856
2022-04-18,7.5,8915369
2022-04-19,7.72,11515312
2022-04-20,7.49,11629540
2022-04-21,7.34,12261823
2022-04-22,7.18,10413831
2022-04-25,7.16,20443708
2022-04-26,6.76,13914337
2022-04-27,6.53,16294284
2022-04-28,6.61,15402213
2022-04-29,6.7,17639410
2022-05-02,6.75,18378302
2022-05-03,7.01,15273675
2022-05-04,7.24,15467611
2022-05-05,6.75,15133099
2022-05-06,6.68,14661864
2022-05-09,6.26,16855178
2022-05-10,6.33,18847940
2022-05-11,6.2,18782589
2022-05-12,6.24,19012543
2022-05-13,6.51,23142560
