time,close,Volume
2018-11-05,228.72,2565374
2018-11-06,228.2,2275807
2018-11-07,231.28,3514619
2018-11-08,231.65,2404854
2018-11-09,222.65,3721716
2018-11-12,206.05,11019357
2018-11-13,205.05,6984798
2018-11-14,202.49,5742451
2018-11-15,203.74,4260001
2018-11-16,202.12,2829572
2018-11-19,198.22,3419116
2018-11-20,191.34,5513841
2018-11-21,192.6,4111653
2018-11-23,189.1,1862633
2018-11-26,194.34,3143267
2018-11-27,193.65,2346394
2018-11-28,198.35,3789873
2018-11-29,194.85,2666117
2018-11-30,190.69,6219958
2018-12-03,191.63,4018393
2018-12-04,184.31,5797535
2018-12-06,184.09,5275511
2018-12-07,179.67,3921232
2018-12-10,178.83,4528341
2018-12-11,176.8,4713871
2018-12-12,176.7,3677292
2018-12-13,175.92,4008550
2018-12-14,172.77,5078341
2018-12-17,168.01,8395805
2018-12-18,171.5,5150789
2018-12-19,169.25,5316095
2018-12-20,168.41,6488177
2018-12-21,160.05,8961148
2018-12-24,156.35,3783497
2018-12-26,162.93,7054656
2018-12-27,165.41,4972964
2018-12-28,163.03,4110520
2018-12-31,167.05,4550009
2019-01-02,172.03,4002086
2019-01-03,169.51,4060393
2019-01-04,175.05,3788312
2019-01-07,176.02,3152092
2019-01-08,175.37,2692684
2019-01-09,176.47,3321697
2019-01-10,176,2808732
2019-01-11,176.93,3183036
2019-01-14,178.72,3361688
2019-01-15,179.91,2911802
2019-01-16,197.08,15194227
2019-01-17,199.09,8176998
2019-01-18,202.54,5650934
2019-01-22,197.68,4648472
2019-01-23,196.9,3410681
2019-01-24,197.8,2632011
2019-01-25,200.74,3275461
2019-01-28,199.72,2369554
2019-01-29,200.5,2694125
2019-01-30,202.48,2773366
2019-01-31,198.01,5604546
2019-02-01,196.54,3174301
2019-02-04,197.72,2400169
2019-02-05,198.01,2601036
2019-02-06,196.62,2063097
2019-02-07,193.07,2948750
2019-02-08,191.67,2757596
2019-02-11,191.33,2056684
2019-02-12,194.49,2392931
2019-02-13,194.69,2757343
2019-02-14,192.53,2864952
2019-02-15,198.5,3065444
2019-02-19,198.67,2558186
2019-02-20,198.6,2265991
2019-02-21,196.36,2786021
2019-02-22,196,2626634
2019-02-25,198.65,3032171
2019-02-26,198.9,2499795
2019-02-27,198.1,1804501
2019-02-28,196.7,2964439
2019-03-01,198.2,2580797
2019-03-04,195.98,2683593
2019-03-05,196,2338725
2019-03-06,194.74,2247480
2019-03-07,192.77,3567935
2019-03-08,195.24,3167874
2019-03-11,195.97,2669014
2019-03-12,196.63,1977361
2019-03-13,197.25,1904531
2019-03-14,197.47,1482382
2019-03-15,198.26,2985264
2019-03-18,202.47,3355202
2019-03-19,201.12,3284871
2019-03-20,194.32,5033491
2019-03-21,194.58,4031526
2019-03-22,188.96,5703063
2019-03-25,188.51,3751226
2019-03-26,190.69,2910110
2019-03-27,190.03,2343810
2019-03-28,191.18,2343428
2019-03-29,191.99,2632797
2019-04-01,196.74,3562556
2019-04-02,197.5,2246979
2019-04-03,200.86,3227885
2019-04-04,202.23,2582379
2019-04-05,202.38,2447288
2019-04-08,202.54,1891580
2019-04-09,200.62,2400893
2019-04-10,202.98,1907115
2019-04-11,202.83,2802400
2019-04-12,207.84,5096630
2019-04-15,199.91,6617232
2019-04-16,201.84,4852969
2019-04-17,207.9,4195336
2019-04-18,205.91,2874292
2019-04-22,204.6,1591430
2019-04-23,204.14,2121243
2019-04-24,200.54,4606367
2019-04-25,201.4,2075273
2019-04-26,203.08,1543137
2019-04-29,206.92,2997024
2019-04-30,205.92,1833416
2019-05-01,204.73,1981789
2019-05-02,204.99,1514660
2019-05-03,207.52,1897692
2019-05-06,206.43,1927994
2019-05-07,202.63,2839464
2019-05-08,200.95,1817714
2019-05-09,201.63,2333539
2019-05-10,202.05,2089764
2019-05-13,194.97,3605565
2019-05-14,196.28,2463391
2019-05-15,196.4,2271501
2019-05-16,199.14,2008310
2019-05-17,197.43,1928394
2019-05-20,197.24,2483484
2019-05-21,199.11,2327767
2019-05-22,195.52,2427247
2019-05-23,191.97,3184179
2019-05-24,193,1637338
2019-05-28,189.44,3039950
2019-05-29,188.05,2815797
2019-05-30,187.37,1919327
2019-05-31,182.49,2640393
2019-06-03,183.19,2857821
2019-06-04,189.88,2421063
2019-06-05,188.44,1968185
2019-06-06,189.81,1653532
2019-06-07,189.81,1838954
2019-06-10,194.12,2372134
2019-06-11,194.73,1632227
2019-06-12,190.22,2059406
2019-06-13,191.45,1411616
2019-06-14,191.66,1403930
2019-06-17,190.83,1155579
2019-06-18,194.98,2362978
2019-06-19,195.64,2196816
