time,close,Volume
2024-02-21,180.9,7027857
2024-02-22,183.07,9296459
2024-02-23,183.99,7105833
2024-02-26,183.36,7145391
2024-02-27,183.45,5717065
2024-02-28,184.38,6131608
2024-02-29,186.06,9643012
2024-03-01,185.29,6311996
2024-03-04,186.68,7063605
2024-03-05,188.55,6617832
2024-03-06,189.53,7572891
2024-03-07,187.87,7618277
2024-03-08,188.22,6172199
2024-03-11,188.29,5762569
2024-03-12,189.84,5708384
2024-03-13,191.38,7795535
2024-03-14,187.97,10310948
2024-03-15,190.3,17214229
2024-03-18,192.66,9013843
2024-03-19,193.79,8478717
2024-03-20,196.33,9367043
2024-03-21,199.06,11203796
2024-03-22,196.62,8108840
2024-03-25,194.82,8620015
2024-03-26,195.73,5961484
2024-03-27,199.52,8725757
2024-03-28,200.3,8628313
2024-04-01,198.94,7309009
2024-04-02,198.86,7014683
2024-04-03,198.3,9353426
2024-04-04,195.65,9243793
2024-04-05,197.45,6532278
2024-04-08,198.48,8000963
2024-04-09,197.15,7358631
2024-04-10,195.47,7681377
2024-04-11,195.43,10137699
2024-04-12,182.79,31532308
2024-04-15,182.89,14766592
2024-04-16,180.8,16451801
2024-04-17,180.08,9017093
2024-04-18,181.25,9557720
2024-04-19,185.8,13402313
2024-04-22,189.41,11529668
2024-04-23,192.14,9144372
2024-04-24,193.08,6964905
2024-04-25,193.37,9802265
2024-04-26,193.49,6413655
2024-04-29,193.28,5411129
2024-04-30,191.74,8153681
2024-05-01,191.86,7446703
2024-05-02,191.66,6501657
2024-05-03,190.51,8922775
2024-05-06,192,7911134
2024-05-07,191.75,7688771
2024-05-08,195.65,9227561
2024-05-09,197.5,7977291
2024-05-10,198.77,7529790
2024-05-13,198.73,7049241
2024-05-14,201.51,8596175
2024-05-15,202.11,8369975
2024-05-16,202.47,8497927
2024-05-17,204.79,9260490
2024-05-20,195.58,17373253
2024-05-21,199.52,14420799
2024-05-22,198.31,9425338
2024-05-23,196.92,8069445
2024-05-24,200.71,7356233
2024-05-28,199.5,6910206
2024-05-29,198.11,6120045
2024-05-30,199.33,6829719
2024-05-31,202.63,14417885
2024-06-03,201.82,6444309
2024-06-04,199.16,6848338
2024-06-05,197.26,8351597
2024-06-06,196.91,7640289
2024-06-07,199.95,6964498
2024-06-10,199.61,6071201
2024-06-11,194.36,9235302
2024-06-12,191.53,12751329
2024-06-13,193.66,8587786
2024-06-14,193.78,6874029
2024-06-17,194.98,8726743
2024-06-18,197,9022971
2024-06-20,198.67,8731062
2024-06-21,196.3,20972495
2024-06-24,198.88,9785929
2024-06-25,198.07,6915909
2024-06-26,197.43,7758582
2024-06-27,199.17,7913453
2024-06-28,202.26,15307616
2024-07-01,205.45,10205836
2024-07-02,208.83,7802936
2024-07-03,208.69,5560925
2024-07-05,204.79,8093096
2024-07-08,205.17,8706967
2024-07-09,207.63,9060258
2024-07-10,207.8,8328493
2024-07-11,207.45,10666937
2024-07-12,204.94,15443441
2024-07-15,210.05,10719670
2024-07-16,213.62,11557018
2024-07-17,216.87,11572470
2024-07-18,209.98,12415125
2024-07-19,209.78,8095898
2024-07-22,210.28,7663223
2024-07-23,210.33,5557262
2024-07-24,208.59,7118957
2024-07-25,208.67,6403774
2024-07-26,212.24,8027787
2024-07-29,210.85,6533636
2024-07-30,215.19,8850705
2024-07-31,212.8,9071637
2024-08-01,207.96,10918644
2024-08-02,199.14,18041676
2024-08-05,194.9,13926997
2024-08-06,200.34,10605780
2024-08-07,200.4,9204434
2024-08-08,204.06,7761199
2024-08-09,205.8,5540240
2024-08-12,206.19,6935954
2024-08-13,207.94,6387942
2024-08-14,210.24,6999809
2024-08-15,211.55,7001005
2024-08-16,213.97,7931234
2024-08-19,215.45,6090818
2024-08-20,214.52,5640223
2024-08-21,214.6,5202472
2024-08-22,216.63,5247098
2024-08-23,218.31,7213981
2024-08-26,219.17,5105245
2024-08-27,220.18,5185221
2024-08-28,221.29,6506402
2024-08-29,222.21,6416149
2024-08-30,224.8,8574128
2024-09-03,220.3,8956089
