time,close,Volume
2024-02-16,86.5,9673918
2024-02-20,85.35,6626357
2024-02-21,85.46,6444877
2024-02-22,85.85,6782109
2024-02-23,86.55,5810069
2024-02-26,85.67,5608055
2024-02-27,85.49,8066655
2024-02-28,86.05,5617729
2024-02-29,86.04,7657147
2024-03-01,86.48,5523731
2024-03-04,90.04,19875986
2024-03-05,89.13,13883597
2024-03-06,85.66,25614607
2024-03-07,86.14,9145693
2024-03-08,87.04,9689299
2024-03-11,86.94,4737231
2024-03-12,87.05,5110923
2024-03-13,89.35,10345766
2024-03-14,89.1,9235361
2024-03-15,88.38,20363042
2024-03-18,87.96,5959969
2024-03-19,88.42,8546529
2024-03-20,91.35,10811723
2024-03-21,93.4,13659937
2024-03-22,91.95,5909255
2024-03-25,91.14,3670642
2024-03-26,91.28,4212047
2024-03-27,93.5,6394493
2024-03-28,94.16,6707703
2024-04-01,93.53,3416048
2024-04-02,92.71,5245570
2024-04-03,93,4821141
2024-04-04,92.28,5466099
2024-04-05,92.47,4654937
2024-04-08,93.21,4601943
2024-04-09,94.08,4952411
2024-04-10,91.65,5994209
2024-04-11,86.84,24631768
2024-04-12,86.19,12789787
2024-04-15,86.99,9553914
2024-04-16,89.14,18291601
2024-04-17,90.08,9544640
2024-04-18,90.26,6751978
2024-04-19,90.66,8143003
2024-04-22,92.09,7294357
2024-04-23,93.76,6393943
2024-04-24,93.85,5100898
2024-04-25,92.56,6770646
2024-04-26,92.83,4606109
2024-04-29,92.11,4420459
2024-04-30,90.84,5859963
2024-05-01,91.54,4714871
2024-05-02,92.65,4449194
2024-05-03,93.64,5043459
2024-05-06,94.79,5105096
2024-05-07,95.79,7417962
2024-05-08,95.64,4662709
2024-05-09,98.11,6766675
2024-05-10,98.28,6118425
2024-05-13,98.56,5379209
2024-05-14,99.38,6216566
2024-05-15,100.52,6938530
2024-05-16,99.58,4339280
2024-05-17,100.22,4690752
2024-05-20,100.33,5690176
2024-05-21,101.53,8337061
2024-05-22,100.74,5194285
2024-05-23,98.92,5594499
2024-05-24,98.97,3550530
2024-05-28,98.67,5542020
2024-05-29,97.27,4679722
2024-05-30,97.23,4548842
2024-05-31,97.84,7155514
2024-06-03,97.41,5671162
2024-06-04,96.58,5409640
2024-06-05,96.66,4499655
2024-06-06,96.85,4741248
2024-06-07,97.14,4018360
2024-06-10,96.39,4566071
2024-06-11,95.43,5329972
2024-06-12,95.65,5435711
2024-06-13,95.21,3955894
2024-06-14,95.5,3406646
2024-06-17,97.04,4876027
2024-06-18,97.57,4558350
2024-06-20,97.44,3956843
2024-06-21,96.16,10983279
2024-06-24,97.1,8418206
2024-06-25,97.8,7468726
2024-06-26,96.89,6514227
2024-06-27,95.77,5437808
2024-06-28,97.19,9058849
2024-07-01,99.16,7420618
2024-07-02,99.65,5571071
2024-07-03,100.2,3111960
2024-07-05,99.59,3633345
2024-07-08,100.59,3884437
2024-07-09,102.61,7114091
2024-07-10,103.46,5618976
2024-07-11,104.64,7766147
2024-07-12,104.09,7060573
2024-07-15,105.26,10093880
2024-07-16,106.22,16716422
2024-07-17,106.96,11411981
2024-07-18,104.81,9130735
2024-07-19,102.09,12555898
2024-07-22,102.44,8931224
2024-07-23,103.5,7400632
2024-07-24,101.97,7967609
2024-07-25,103.56,5582494
2024-07-26,104.19,6599639
2024-07-29,102.48,5183399
2024-07-30,103.76,6225723
2024-07-31,103.21,5444595
2024-08-01,101.76,5678126
2024-08-02,95.85,11120672
2024-08-05,92.07,9659510
