time,close,Volume
2018-11-19,94.82,1850235
2018-11-20,93.62,2143710
2018-11-21,95.88,3996247
2018-11-22,94.94,1338330
2018-11-23,95.06,1402958
2018-11-26,94.88,3370199
2018-11-27,95.49,2964165
2018-11-28,98.1,4244549
2018-11-29,97.82,2656576
2018-11-30,97.42,3550159
2018-12-03,97.45,2787239
2018-12-04,96.71,3164428
2018-12-05,97.6,2130453
2018-12-06,95.72,4787803
2018-12-07,94.56,5231189
2018-12-10,94.09,3054629
2018-12-11,93.36,4235617
2018-12-12,94.42,2840877
2018-12-13,94.21,2652776
2018-12-14,94.32,2884900
2018-12-17,93.5,2201013
2018-12-18,93.8,5466631
2018-12-19,92.68,4215018
2018-12-20,92.21,4833951
2018-12-21,90.95,10544319
2018-12-24,90.21,1766722
2018-12-27,92.71,2358690
2018-12-28,93.1,3178868
2018-12-31,93.44,2420476
2019-01-02,93.62,2893406
2019-01-03,92.57,3305695
2019-01-04,94.14,4301856
2019-01-07,93.91,4589443
2019-01-08,93.74,3296493
2019-01-09,95.74,4959331
2019-01-10,96.62,4089484
2019-01-11,96.6,3243026
2019-01-14,96.89,3069608
2019-01-15,97.27,1941203
2019-01-16,97.84,2979874
2019-01-17,98.42,2071587
2019-01-18,98.64,3148255
2019-01-21,99.74,1176162
2019-01-22,100,4491497
2019-01-23,98.65,2972541
2019-01-24,98.99,2314529
2019-01-25,99.06,1766492
2019-01-28,99.39,1622434
2019-01-29,99.71,2473767
2019-01-30,100.03,4262299
2019-01-31,100.02,3032376
2019-02-01,100.11,2011260
2019-02-04,100.54,3626395
2019-02-05,101.2,2276457
2019-02-06,101.39,2001740
2019-02-07,101.4,3064846
2019-02-08,100.91,1729623
2019-02-11,100.45,3909584
2019-02-12,100.75,3223960
2019-02-13,100.84,1142422
2019-02-14,100.67,1989869
2019-02-15,101.41,2381300
2019-02-19,101.79,5230252
2019-02-20,102.78,3916005
2019-02-21,102.27,6668647
2019-02-22,101.74,2701349
2019-02-25,102.42,2634557
2019-02-26,102.64,2538926
2019-02-27,103.3,1811195
2019-02-28,102.85,2508038
2019-03-01,103.46,2084602
2019-03-04,103.42,3225802
2019-03-05,103.74,2605472
2019-03-06,103.68,2408288
2019-03-07,103.23,2518859
2019-03-08,102.87,2401158
2019-03-11,102.98,2160342
2019-03-12,102.65,1823002
2019-03-13,102.76,3798059
2019-03-14,102.64,1227470
2019-03-15,103.54,9327374
2019-03-18,104.17,1542860
2019-03-19,103.6,1527685
2019-03-20,102.91,1717452
2019-03-21,102.48,5844437
2019-03-22,102.13,4558539
2019-03-25,102.03,2586324
2019-03-26,102.74,3681876
2019-03-27,102.07,2778145
2019-03-28,101.78,3145997
2019-03-29,100.82,2685604
2019-04-01,102.5,3746679
2019-04-02,103.02,2566881
2019-04-03,103.39,2047348
2019-04-04,103.44,1437099
2019-04-05,103.6,1761354
2019-04-08,103.44,2527633
2019-04-09,103.16,2469697
2019-04-10,103.5,1523171
2019-04-11,103.78,4394314
2019-04-12,104.69,1664475
2019-04-15,105.05,2429588
2019-04-16,105.68,2604275
2019-04-17,106.44,8604835
2019-04-18,107.06,4018758
2019-04-22,107.04,3304367
2019-04-23,107.85,4068889
2019-04-24,105.46,3435993
2019-04-25,105.38,4087584
2019-04-26,105.91,2466277
2019-04-29,106.58,2825347
2019-04-30,106.77,3045139
2019-05-01,106.45,5080074
2019-05-02,106.39,2173968
2019-05-03,106.89,1949989
2019-05-06,107.06,1862253
2019-05-07,106.32,2538304
2019-05-08,105.93,1391896
2019-05-09,105.98,3376181
2019-05-10,105.42,3037734
2019-05-13,104.39,2543339
2019-05-14,104.7,1760389
2019-05-15,104.71,2384102
2019-05-16,105.41,2426320
2019-05-17,105.12,2033206
2019-05-21,105.2,3405537
2019-05-22,105.18,2361591
2019-05-23,102.64,4296227
2019-05-24,103.89,3705130
2019-05-27,104.74,797298
2019-05-28,104.05,3748465
2019-05-29,102.66,2275524
2019-05-30,102.59,1493101
2019-05-31,101.58,2037682
2019-06-03,101.78,2374105
2019-06-04,103.07,2102816
2019-06-05,103.5,1647607
2019-06-06,103.21,1407651
2019-06-07,103.22,1360899
2019-06-10,103.34,1179379
2019-06-11,103.28,1962259
2019-06-12,102.36,1985205
2019-06-13,103.03,1974704
2019-06-14,103.55,1371526
2019-06-17,103.67,1344734
2019-06-18,105.36,2107533
2019-06-19,105.19,1374060
2019-06-20,105.43,1393606
2019-06-21,105,7020492
2019-06-24,104.99,1924406
2019-06-25,104.15,3745190
2019-06-26,103.74,1651279
2019-06-27,103.46,1307728
2019-06-28,104.07,3094148
2019-07-02,104.83,1396709
2019-07-03,105.61,1354051
2019-07-04,105.42,739587
2019-07-05,105.69,988968
2019-07-08,105.16,2016112
2019-07-09,105.52,1870045
2019-07-10,105.17,2371403
2019-07-11,104.85,2205634
2019-07-12,104.33,2439709
2019-07-15,104.25,1516316
2019-07-16,104.42,1690919
2019-07-17,104.33,1677771
2019-07-18,104.5,2937019
2019-07-19,104.91,1598738
2019-07-22,104.72,2630439
2019-07-23,105.5,3645578
2019-07-24,105.04,1959863
2019-07-25,104.5,3252562
2019-07-26,104.77,1688638
2019-07-29,104.77,2069344
2019-07-30,104.15,2343069
2019-07-31,104.22,2687524
2019-08-01,102.83,3269475
2019-08-02,102.2,3011451
2019-08-06,101.01,3359481
2019-08-07,101.32,2920025
2019-08-08,101.82,1332675
2019-08-09,101.08,2810530
