time,close,Volume
2024-02-21,72.15,2693957
2024-02-22,72.42,2439857
2024-02-23,73.58,3367334
2024-02-26,72.87,2068008
2024-02-27,73.48,2024705
2024-02-28,73.37,2235212
2024-02-29,73.73,3479741
2024-03-01,73.85,1525975
2024-03-04,74,1548971
2024-03-05,73.31,2450616
2024-03-06,71.84,2802590
2024-03-07,72.25,2448289
2024-03-08,72.43,1657586
2024-03-11,73.44,1847574
2024-03-12,72.51,1883313
2024-03-13,72.85,1943129
2024-03-14,71.86,2120688
2024-03-15,72.5,4129152
2024-03-18,72.49,2234347
2024-03-19,72.62,2787279
2024-03-20,73.82,1818596
2024-03-21,75.93,2720670
2024-03-22,75.84,2585260
2024-03-25,75.65,2026667
2024-03-26,76.18,1764848
2024-03-27,76.88,2585698
2024-03-28,77.32,2202822
2024-04-01,77.25,1815093
2024-04-02,77,3184617
2024-04-03,77.32,1585378
2024-04-04,75.95,1915361
2024-04-05,75.8,1644407
2024-04-08,76.39,1523437
2024-04-09,76.64,1582652
2024-04-10,74.37,1954563
2024-04-11,73.91,2436619
2024-04-12,75.78,6622170
2024-04-15,74.93,3398419
2024-04-16,73.02,3018726
2024-04-17,72.81,2265245
2024-04-18,73.04,1689907
2024-04-19,73.37,3005467
2024-04-22,74.51,1680017
2024-04-23,74.39,2423967
2024-04-24,74.29,8642088
2024-04-25,73.29,5837130
2024-04-26,73.39,2749354
2024-04-29,73.99,2492104
2024-04-30,72.49,1645050
2024-05-01,73.11,1840379
2024-05-02,73.2,1883399
2024-05-03,74.39,1623097
2024-05-06,75.11,1888318
2024-05-07,75.35,1899741
2024-05-08,75.32,1949132
2024-05-09,76.26,1416917
2024-05-10,76.58,1479473
2024-05-13,76.16,1808360
2024-05-14,76.56,1830633
2024-05-15,77.57,1914297
2024-05-16,77.63,1713135
2024-05-17,78.01,1814979
2024-05-20,77.15,2845322
2024-05-21,77.08,1580437
2024-05-22,76.49,2740609
2024-05-23,74.81,3001494
2024-05-24,75.39,1310269
2024-05-28,73.91,1444829
2024-05-29,73.83,1760593
2024-05-30,74.25,1738741
2024-05-31,75.59,3871132
2024-06-03,75.33,1984379
2024-06-04,74.65,1425823
2024-06-05,74.49,1489794
2024-06-06,74.5,1497477
2024-06-07,74.76,2213609
2024-06-10,74.35,2723496
2024-06-11,71.13,3551055
2024-06-12,72.14,1824736
2024-06-13,71.6,1945660
2024-06-14,70.91,1395754
2024-06-17,71.71,1515296
2024-06-18,72.37,2525271
2024-06-20,72.4,1776758
2024-06-21,72.24,2353833
2024-06-24,72.94,1462658
2024-06-25,72.58,1700479
2024-06-26,72.86,3159903
2024-06-27,73.05,2394840
2024-06-28,74,4601662
2024-07-01,73.56,2154934
2024-07-02,73.86,1596167
2024-07-03,74.14,929146
2024-07-05,73.72,1539859
2024-07-08,73.37,2637053
2024-07-09,74.42,2043550
2024-07-10,75.49,1734513
2024-07-11,76.48,1831223
2024-07-12,78.56,2974416
2024-07-15,78.94,3254338
2024-07-16,84.82,6021904
2024-07-17,85.34,4074604
2024-07-18,84.33,2694225
2024-07-19,84.49,1565933
2024-07-22,84,1722211
2024-07-23,83.81,2458996
2024-07-24,82.96,1762643
2024-07-25,84.89,2078275
2024-07-26,85.29,1509865
2024-07-29,84.92,1029351
2024-07-30,85.7,1177713
2024-07-31,84.97,1345728
2024-08-01,83.63,1359693
2024-08-02,80.91,1941255
2024-08-05,77.11,2669907
2024-08-06,77.13,2281451
2024-08-07,76.48,1955149
2024-08-08,77.75,1087293
2024-08-09,78.21,1217873
2024-08-12,77.53,1901371
2024-08-13,78.8,1798791
