time,close,Volume
2018-11-20,52.54,22999613
2018-11-21,52.43,16946294
2018-11-23,51.83,11139394
2018-11-26,52.88,20581730
2018-11-27,53.19,18044608
2018-11-28,54.35,23713256
2018-11-29,54.04,14978735
2018-11-30,54.28,18939274
2018-12-03,54.24,21261736
2018-12-04,51.78,33280486
2018-12-06,51.09,40310215
2018-12-07,50.26,28510478
2018-12-10,48.8,34524589
2018-12-11,47.76,32388554
2018-12-12,47.74,42819963
2018-12-13,47.03,35227105
2018-12-14,46.54,25913029
2018-12-17,46.61,29443311
2018-12-18,46.52,26740046
2018-12-19,45.67,34287569
2018-12-20,46.04,43969930
2018-12-21,45.12,55577917
2018-12-24,43.6,18049856
2018-12-26,45.59,27770258
2018-12-27,45.53,27005326
2018-12-28,45.78,23635066
2018-12-31,46.08,16544485
2019-01-02,46.94,20328769
2019-01-03,46.57,22262061
2019-01-04,47.95,23343629
2019-01-07,47.64,21858290
2019-01-08,47.54,19702853
2019-01-09,47.8,18837660
2019-01-10,47.75,16208449
2019-01-11,47.87,20006939
2019-01-14,48.42,23827571
2019-01-15,47.67,27447612
2019-01-16,48.94,32026431
2019-01-17,49.23,25738840
2019-01-18,50.01,36380310
2019-01-22,49.86,33975480
2019-01-23,50.12,16806655
2019-01-24,49.98,17862377
2019-01-25,50.13,20192224
2019-01-28,49.82,19913150
2019-01-29,49.85,11927559
2019-01-30,50.09,16885059
2019-01-31,48.91,24934702
2019-02-01,48.91,21123467
2019-02-04,49.06,17547768
2019-02-05,49.27,14784891
2019-02-06,49.22,12145716
2019-02-07,48.08,24189661
2019-02-08,47.65,20641299
2019-02-11,47.65,15995875
2019-02-12,49.05,22033149
2019-02-13,49.02,13770948
2019-02-14,48.52,16456463
2019-02-15,49.22,19346194
2019-02-19,49.38,15121740
2019-02-20,49.81,16742573
2019-02-21,49.56,16938768
2019-02-22,49.02,15848242
2019-02-25,49.66,16564091
2019-02-26,49.59,16997795
2019-02-27,49.9,17454958
2019-02-28,49.89,17786633
2019-03-01,50.03,19051640
2019-03-04,50.11,16697031
2019-03-05,49.89,14235444
2019-03-06,49.82,14210992
2019-03-07,49.68,19047337
2019-03-08,49.8,17464045
2019-03-11,49.76,19471722
2019-03-12,49.65,18299327
2019-03-13,49.92,21647268
2019-03-14,50.35,20160716
2019-03-15,50.66,46117420
2019-03-18,51.73,23843330
2019-03-19,51.41,19911941
2019-03-20,50.4,20632372
2019-03-21,49.86,24132773
2019-03-22,48.31,27975797
2019-03-25,48.08,17227557
2019-03-26,49.01,16989637
2019-03-27,48.77,16912046
2019-03-28,49.09,15881613
2019-03-29,48.32,53590815
2019-04-01,48.81,42015467
2019-04-02,48.21,35393648
2019-04-03,48.86,30366307
2019-04-04,49.17,19246743
2019-04-05,48.78,23734918
2019-04-08,48.88,18875202
2019-04-09,48.14,22903535
2019-04-10,47.79,30977774
2019-04-11,47.74,33662658
2019-04-12,46.49,70271436
2019-04-15,46.77,34954040
2019-04-16,47.65,25217106
2019-04-17,47.55,25143950
2019-04-18,47.58,22416772
2019-04-22,47.26,15972578
2019-04-23,47.35,16434297
2019-04-24,47.48,17831759
2019-04-25,47.51,23042832
2019-04-26,47.96,13035469
2019-04-29,48.27,16918706
2019-04-30,48.41,18525135
2019-05-01,48.23,17542090
2019-05-02,48.3,16883119
2019-05-03,48.65,16571509
2019-05-06,48.43,19279924
2019-05-07,47.17,23919136
2019-05-08,47,19814429
2019-05-09,46.74,23246873
2019-05-10,47.15,19983545
2019-05-13,46.33,23304706
2019-05-14,46.49,21267557
2019-05-15,45.84,20123347
2019-05-16,45.9,20764061
2019-05-17,45.7,22273628
2019-05-20,45.45,18854327
2019-05-21,46.33,18416379
2019-05-22,46.1,13155037
2019-05-23,45.56,17643677
2019-05-24,46.17,13425455
2019-05-28,45.59,19984800
2019-05-29,45.48,16058804
2019-05-30,45.05,13775877
2019-05-31,44.37,17540547
2019-06-03,44.52,20172450
2019-06-04,45.68,21082046
2019-06-05,45.86,13705360
2019-06-06,45.92,16020500
2019-06-07,45.63,14980033
2019-06-10,46.27,15242691
2019-06-11,46.26,15078315
2019-06-12,44.91,22470396
2019-06-13,45.29,15629455
2019-06-14,45.59,16147536
2019-06-17,45.27,13420383
2019-06-18,46.1,18611118
2019-06-19,45.65,17787583
2019-06-20,45.86,19205212
2019-06-21,46.89,39186157
2019-06-24,46.27,21854440
2019-06-25,46.14,20813975
2019-06-26,45.8,17106752
2019-06-27,46.29,13391603
2019-06-28,47.32,31030908
2019-07-01,47.69,15122093
2019-07-02,47.23,12107292
2019-07-03,47.66,10438423
2019-07-05,47.77,10801597
2019-07-08,47.53,13189258
2019-07-09,47.83,12595046
2019-07-10,47.15,12784891
2019-07-11,47.14,19751364
2019-07-12,47.36,12792576
2019-07-15,46.71,21338425
2019-07-16,45.3,37548254
2019-07-17,45.21,24502071
2019-07-18,45.82,19412549
2019-07-19,46.03,21848288
2019-07-22,46.48,17974066
2019-07-23,47.2,21150178
2019-07-24,48.45,29357158
2019-07-25,48.09,20562036
2019-07-26,49.3,21641763
2019-07-29,48.28,19148583
2019-07-30,48.55,14207046
2019-07-31,48.41,23422839
2019-08-01,47.06,22668604
2019-08-02,47.44,20158952
2019-08-05,46.14,27113503
2019-08-06,46.93,19446099
2019-08-07,45.81,27830027
2019-08-08,46.4,20671304
2019-08-09,46.3,19786112
2019-08-12,45.43,17365927
2019-08-13,45.96,16722759
2019-08-14,43.97,28786684
2019-08-15,43.38,27899987
2019-08-16,44.39,21196609
2019-08-19,45.25,15378105
2019-08-20,44.68,13346104
2019-08-21,45,13517481
2019-08-22,45.62,14705015
2019-08-23,44.42,21153801
2019-08-26,44.98,15973246
2019-08-27,44.75,15038180
2019-08-28,45.47,14740415
2019-08-29,46.19,16196668
2019-08-30,46.57,15251816
2019-09-03,46.09,17224856
2019-09-04,46.5,17138114
2019-09-05,47.62,19244308
2019-09-06,47.15,18846336
2019-09-09,48.41,27651420
2019-09-10,48.31,25822484
2019-09-11,48.85,19189958
2019-09-12,48.65,24305937
2019-09-13,48.92,25142359
2019-09-16,48.98,17759682
2019-09-17,48.76,18463810
2019-09-18,48.93,20548852
2019-09-19,48.91,17052734
2019-09-20,48.63,30451103
2019-09-23,48.96,21331118
2019-09-24,48.65,21855450
2019-09-25,49.26,21405392
2019-09-26,48.87,20057083
2019-09-27,50.71,59468942
2019-09-30,50.44,28888394
2019-10-01,49.06,27403497
2019-10-02,48.47,24808549
2019-10-03,48.48,20635471
2019-10-04,49.21,15947794
2019-10-07,48.81,15738204
2019-10-08,47.82,19835257
2019-10-09,48.15,13536269
2019-10-10,48.65,18406978
2019-10-11,49.21,23092111
2019-10-14,49.27,17075909
2019-10-15,50.11,39507014
2019-10-16,49.59,23759914
2019-10-17,49.61,20588351
2019-10-18,49.97,21199754
2019-10-21,50.46,20379314
2019-10-22,50.62,19474216
2019-10-23,50.93,15154572
2019-10-24,51.1,17730618
2019-10-25,51.57,17433347
2019-10-28,51.65,23914846
2019-10-29,52.17,21063049
2019-10-30,52.03,16155863
2019-10-31,51.63,18814737
2019-11-01,52.18,16359347
2019-11-04,52.72,17559945
2019-11-05,53.3,25965273
2019-11-06,53.8,22051098
2019-11-07,54,23452471
2019-11-08,54.1,14722656
2019-11-11,54.05,10659938
2019-11-12,54.22,15187629
2019-11-13,53.29,16937719
2019-11-14,53.49,16498145
2019-11-15,53.8,15225623
2019-11-18,54,14374870
2019-11-19,54.03,14436526
2019-11-20,53.54,14994768
2019-11-21,53.56,16186126
2019-11-22,54.28,13823402
2019-11-25,54.21,15560980
2019-11-26,53.81,18081019
2019-11-27,54.34,16355412
2019-11-29,54.46,10508630
2019-12-02,53.62,20253309
2019-12-03,52.58,25760216
2019-12-04,53.24,18868398
2019-12-05,53.23,13499709
2019-12-06,54.37,18325935
2019-12-09,53.92,15107447
2019-12-10,53.69,15959626
2019-12-11,53.17,16834475
2019-12-12,54.36,19121951
2019-12-13,53.79,19179788
2019-12-16,54.22,19793887
2019-12-17,54.34,16723358
2019-12-18,53.67,18868265
2019-12-19,53.63,18133501
2019-12-20,53.33,66323247
2019-12-23,53.81,17638360
2019-12-24,53.82,4635459
2019-12-26,54.15,12517137
2019-12-27,53.92,9892762
2019-12-30,53.6,10900535
2019-12-31,53.8,12566101
2020-01-02,53.75,16806063
2020-01-03,53.42,15609670
2020-01-06,53.1,13200655
2020-01-07,52.66,13285117
2020-01-08,52.82,16587622
2020-01-09,52.73,20818099
2020-01-10,52.5,13778540
2020-01-13,52.11,25207426
2020-01-14,49.3,56678417
2020-01-15,48.32,47147978
2020-01-16,49.25,37020214
2020-01-17,49.18,29669233
2020-01-21,48.94,30858265
2020-01-22,48.56,20367677
2020-01-23,48.22,17297943
2020-01-24,47.57,21239603
2020-01-27,47.1,18156167
2020-01-28,47.37,16673308
2020-01-29,47.27,16189560
2020-01-30,47.91,14760210
2020-01-31,46.94,23080445
2020-02-03,47.12,15471985
2020-02-04,47.26,14973286
2020-02-05,48.31,20141773
2020-02-06,47.98,18259189
2020-02-07,47.84,13174648
2020-02-10,47.77,18124754
2020-02-11,47.99,13686081
2020-02-12,47.79,16668133
2020-02-13,48.12,12529964
2020-02-14,48.22,15526365
2020-02-18,46.99,22427844
2020-02-19,47.09,15602522
2020-02-20,47.34,15965494
2020-02-21,47.7,21729106
2020-02-24,46.39,23075930
2020-02-25,45.12,31110106
2020-02-26,44.14,27437440
2020-02-27,42.47,41180045
2020-02-28,40.85,71710072
2020-03-02,42.26,44231229
2020-03-03,40.53,45091021
2020-03-04,41.4,33881480
2020-03-05,38.9,45037864
2020-03-06,37.09,56766462
2020-03-09,32.48,53277150
2020-03-10,35.08,40078709
2020-03-11,32.33,44784160
2020-03-12,27.2,68447627
2020-03-13,30.89,78365669
2020-03-16,26.5,57466710
2020-03-17,29.63,58112784
2020-03-18,28.12,51904083
2020-03-19,28.29,53123498
2020-03-20,26.5,73915797
2020-03-23,25.25,47064127
2020-03-24,28.92,48630317
2020-03-25,28.97,53341084
2020-03-26,30.9,45522929
2020-03-27,30.28,38942842
2020-03-30,29.92,41232839
2020-03-31,28.7,36920282
2020-04-01,26.57,48497405
2020-04-02,27.22,33113523
2020-04-03,26.23,32735751
2020-04-06,28.63,36056071
2020-04-07,28.77,39323599
2020-04-08,30.28,42213700
2020-04-09,33.2,62520568
2020-04-13,31.43,36068902
2020-04-14,30.18,64267050
2020-04-15,28.44,41883866
2020-04-16,26.89,52962096
2020-04-17,28.38,46984953
2020-04-20,27.68,45441601
2020-04-21,26.84,41918733
2020-04-22,26.8,28078443
2020-04-23,26.53,38331520
2020-04-24,26.92,35172744
2020-04-27,28.41,39606131
2020-04-28,28.87,35188016
2020-04-29,30,38515168
2020-04-30,29.05,29506087
2020-05-01,27.59,35197567
2020-05-04,27.35,34343885
2020-05-05,26.32,56753388
2020-05-06,25.61,57732882
2020-05-07,25.23,52386991
2020-05-08,25.43,53768812
2020-05-11,24.78,51444166
2020-05-12,24.04,53560500
2020-05-13,22.53,90209918
2020-05-14,24.06,87965504
2020-05-15,23.36,51616656
2020-05-18,25.41,55751418
2020-05-19,23.95,48234338
2020-05-20,24.52,45297081
2020-05-21,24.46,28376528
2020-05-22,24.17,30415297
2020-05-26,26.26,57720312
2020-05-27,27.95,61962965
2020-05-28,27.22,51606629
2020-05-29,26.47,51382843
2020-06-01,27.09,34258099
2020-06-02,27.4,39057981
2020-06-03,28.83,50813950
2020-06-04,30.22,61839219
2020-06-05,31.67,107651152
2020-06-08,33.32,69051349
2020-06-09,32.63,51480394
2020-06-10,29.71,82089966
2020-06-11,26.79,75621263
2020-06-12,27.97,51301222
2020-06-15,28.21,48311406
2020-06-16,28.52,52985585
2020-06-17,27.45,38660809
2020-06-18,27.55,33670192
