time,close,Volume
2024-02-29,3.8455,48265445
2024-03-01,3.872,28750040
2024-03-04,3.856,17903221
2024-03-05,3.865,29385113
2024-03-06,3.907,35783296
2024-03-07,3.9805,43155499
2024-03-08,3.9925,40865306
2024-03-11,3.984,33465839
2024-03-12,4.058,43115534
2024-03-13,4.093,36773177
2024-03-14,4.0485,41968157
2024-03-15,4.1175,97759486
2024-03-18,4.1375,23770102
2024-03-19,4.189,31350098
2024-03-20,4.19,22869829
2024-03-21,4.278,37780346
2024-03-22,4.3665,43880331
2024-03-25,4.4135,26822346
2024-03-26,4.46,33052982
2024-03-27,4.503,35662590
2024-03-28,4.5215,40553249
2024-04-02,4.515,30662537
2024-04-03,4.5835,24008911
2024-04-04,4.6755,72593851
2024-04-05,4.5865,39166399
2024-04-08,4.641,20952883
2024-04-09,4.5655,23768525
2024-04-10,4.5765,39018785
2024-04-11,4.456,39985305
2024-04-12,4.448,26386121
2024-04-15,4.4705,28663206
2024-04-16,4.357,40191950
2024-04-17,4.418,21777523
2024-04-18,4.5445,34343556
2024-04-19,4.5115,35562809
2024-04-22,4.667,43007201
2024-04-23,4.7475,117593016
2024-04-24,4.7795,34674772
2024-04-25,4.748,31220707
2024-04-26,4.8505,41115322
2024-04-29,4.7505,45065850
2024-04-30,4.573,57113636
2024-05-02,4.5655,34056511
2024-05-03,4.5305,26322550
2024-05-06,4.5705,22359200
2024-05-07,4.728,48974273
2024-05-08,4.7715,37871507
2024-05-09,4.77,19080950
2024-05-10,4.7345,20119224
2024-05-13,4.7555,15424741
2024-05-14,4.7525,22075107
2024-05-15,4.812,36914169
2024-05-16,4.8045,19458547
2024-05-17,4.8605,38432516
2024-05-20,4.878,15654661
2024-05-21,4.842,24201531
2024-05-22,4.805,19358478
2024-05-23,4.7835,18724173
2024-05-24,4.7525,22271300
2024-05-27,4.7595,10289935
2024-05-28,4.7615,16319264
2024-05-29,4.689,19403432
2024-05-30,4.788,22511742
2024-05-31,4.8345,60848571
2024-06-03,4.851,20425574
2024-06-04,4.7405,38848093
2024-06-05,4.68,23153076
2024-06-06,4.7435,23383629
2024-06-07,4.734,21559371
2024-06-10,4.711,30100588
2024-06-11,4.6065,33259058
2024-06-12,4.6,38895316
2024-06-13,4.401,63479146
2024-06-14,4.3785,69445292
2024-06-17,4.41,29984328
2024-06-18,4.452,22306291
2024-06-19,4.4515,42981487
2024-06-20,4.441,23139520
2024-06-21,4.335,71329605
2024-06-24,4.409,22877711
2024-06-25,4.3805,27250840
2024-06-26,4.3445,19041974
2024-06-27,4.337,23526706
2024-06-28,4.3305,23910256
2024-07-01,4.4475,27889082
2024-07-02,4.3235,25570185
2024-07-03,4.4185,19638324
2024-07-04,4.507,19993558
2024-07-05,4.445,18109248
2024-07-08,4.4475,30856758
2024-07-09,4.3845,21634611
2024-07-10,4.4975,22237365
2024-07-11,4.4625,29489009
2024-07-12,4.509,14479402
2024-07-15,4.451,13905306
2024-07-16,4.4405,14108279
2024-07-17,4.474,28366922
2024-07-18,4.488,14271483
2024-07-19,4.4345,41562220
2024-07-22,4.531,21811972
2024-07-23,4.5665,26402918
2024-07-24,4.705,46674351
2024-07-25,4.554,32425239
2024-07-26,4.53,17581755
2024-07-29,4.468,18668330
2024-07-30,4.512,21201146
2024-07-31,4.455,28179582
2024-08-01,4.2575,35705354
2024-08-02,4.049,55723060
2024-08-05,3.985,47224743
2024-08-06,3.964,27778462
2024-08-07,4.069,31579288
2024-08-08,4.065,17126847
2024-08-09,4.099,14153438
2024-08-12,4.089,17967605
2024-08-13,4.113,10586428
2024-08-14,4.1,11164362
2024-08-15,4.2245,24178780
2024-08-16,4.228,13736758
2024-08-19,4.285,13477845
2024-08-20,4.24,13959107
2024-08-21,4.2555,11373253
2024-08-22,4.2765,15063675
2024-08-23,4.3515,15682393
2024-08-26,4.327,12280520
2024-08-27,4.4365,26203208
2024-08-28,4.466,26212694
2024-08-29,4.4885,20355392
2024-08-30,4.496,35134931
2024-09-02,4.4765,15920350
2024-09-03,4.3715,28906093
2024-09-04,4.3545,20449142
2024-09-05,4.3875,15530579
2024-09-06,4.2925,22177396
2024-09-09,4.342,13219937
2024-09-10,4.2465,35891278
2024-09-11,4.246,20597437
2024-09-12,4.3265,19398659
2024-09-13,4.4055,26341614
2024-09-16,4.4405,15776984
2024-09-17,4.511,25019281
2024-09-18,4.5085,16487238
2024-09-19,4.6,36203566
2024-09-20,4.5585,68986283
2024-09-23,4.4885,21349242
2024-09-24,4.554,18440303
2024-09-25,4.5205,18310092
2024-09-26,4.6355,24457933
2024-09-27,4.655,24363829
2024-09-30,4.6005,24706612
2024-10-01,4.376,39752127
2024-10-02,4.426,23790618
2024-10-03,4.427,24403439
2024-10-04,4.48,27949677
2024-10-07,4.56,26409705
2024-10-08,4.562,16510152
2024-10-09,4.5345,17006692
2024-10-10,4.535,18268806
2024-10-11,4.5725,15532283
2024-10-14,4.606,14711150
2024-10-15,4.634,22410703
2024-10-16,4.61,22257104
2024-10-17,4.5815,21964689
2024-10-18,4.64,28831167
2024-10-21,4.58,14542544
2024-10-22,4.6155,16545305
2024-10-23,4.611,16269803
2024-10-24,4.5635,51544069
2024-10-25,4.5755,30275738
2024-10-28,4.6325,22609301
2024-10-29,4.493,61254225
2024-10-30,4.41,36229453
2024-10-31,4.492,36675715
2024-11-01,4.611,30329053
2024-11-04,4.6045,27664681
2024-11-05,4.6315,23758295
2024-11-06,4.41,76169488
2024-11-07,4.5195,50059094
2024-11-08,4.4345,36743539
2024-11-11,4.527,20691998
2024-11-12,4.4025,31676971
2024-11-13,4.4035,28409466
2024-11-14,4.498,34961081
2024-11-15,4.5765,28520435
2024-11-18,4.62,19982311
2024-11-19,4.5475,32313336
2024-11-20,4.506,26536883
2024-11-21,4.5275,20494095
2024-11-22,4.368,59333407
2024-11-25,4.436,41809376
2024-11-26,4.3915,22521271
2024-11-27,4.3755,26065527
2024-11-28,4.374,17784020
2024-11-29,4.3755,36565386
2024-12-02,4.3755,22046382
2024-12-03,4.439,20559973
2024-12-04,4.475,20614763
2024-12-05,4.68,43780376
2024-12-06,4.643,17445872
2024-12-09,4.6515,18777954
2024-12-10,4.6765,21205527
2024-12-11,4.6375,21982608
2024-12-12,4.662,28622441
2024-12-13,4.683,19321125
2024-12-16,4.6715,20451572
2024-12-17,4.46,38316632
2024-12-18,4.5055,30417445
2024-12-19,4.3985,41375499
2024-12-20,4.3565,61113148
2024-12-23,4.3315,34192155
2024-12-24,4.321,9456670
2024-12-27,4.388,18235952
2024-12-30,4.3965,19653250
2024-12-31,4.4645,12883599
2025-01-02,4.403,26406211
2025-01-03,4.3985,22697102
2025-01-06,4.55,23517368
2025-01-07,4.594,29365563
2025-01-08,4.5695,23072369
2025-01-09,4.5695,12361303
2025-01-10,4.5685,22796767
2025-01-13,4.588,18003296
2025-01-14,4.686,32113175
2025-01-15,4.7655,31933071
2025-01-16,4.7825,26226298
2025-01-17,4.7995,27551816
2025-01-20,4.895,36915110
2025-01-21,4.7895,23839972
2025-01-22,4.738,74552
2025-01-23,4.854,17678767
2025-01-24,4.8825,20830243
2025-01-27,4.902,20815293
2025-01-28,4.914,10681997
2025-01-29,5.007,34658787
2025-01-30,5.027,23994
2025-01-31,4.964,19820553
2025-02-03,4.8415,34812469
2025-02-04,4.9885,873967
2025-02-05,5.402,950
2025-02-06,5.628,66058382
2025-02-07,5.527,41594770
2025-02-10,5.484,800673
2025-02-11,5.656,39496934
2025-02-12,5.767,43442700
2025-02-13,5.721,419110
2025-02-14,5.792,41267765
2025-02-17,5.81,50016
2025-02-18,5.961,5588234
2025-02-19,5.805,249388
2025-02-20,5.819,8680321
2025-02-21,5.884,33934742
2025-02-24,5.955,14313740
2025-02-25,6.045,46846741
2025-02-26,6.232,2488
2025-02-27,6.198,21231628
2025-02-28,6.222,903790
2025-03-03,6.297,18974
2025-03-04,5.916,318
2025-03-05,6.16,205837
2025-03-06,6.311,40346
2025-03-07,6.223,22104
2025-03-10,5.951,26604
2025-03-11,5.862,40956378
2025-03-12,6.002,3160
2025-03-13,6.006,15870
2025-03-14,6.214,37629092
2025-03-17,6.327,35575448
2025-03-18,6.58,1285531
2025-03-19,6.561,41123749
2025-03-20,6.4,3271646
2025-03-21,6.44,85083395
2025-03-24,6.502,11426
2025-03-25,6.619,27078866
2025-03-26,6.502,9540
2025-03-27,6.452,29719139
2025-03-28,6.318,30079507
2025-03-31,6.196,31557031
2025-04-01,6.323,12620
2025-04-02,6.352,23452769
2025-04-03,6.022,476
2025-04-04,5.494,207364
2025-04-07,5.243,91936
2025-04-08,5.504,38074
2025-04-09,5.365,88126
2025-04-10,5.662,33934
2025-04-11,5.588,28822
2025-04-14,5.798,29998
2025-04-15,6.006,42677486
2025-04-16,6.025,4332
2025-04-17,5.942,29403830
2025-04-22,6.053,32702948
2025-04-23,6.32,72827881
2025-04-24,6.254,20987915
2025-04-25,6.416,45286745
2025-04-28,6.535,426912
2025-04-29,6.433,100810
2025-04-30,6.182,686738
2025-05-02,6.337,35988
2025-05-05,6.384,22761188
2025-05-06,6.349,666980
2025-05-07,6.351,25006794
2025-05-08,6.561,36163422
2025-05-09,6.653,6558
2025-05-12,6.765,32708258
2025-05-13,6.783,23079652
2025-05-14,6.897,43420301
2025-05-15,6.87,22033617
2025-05-16,6.913,28800679
2025-05-19,6.943,22724083
2025-05-20,7.044,36140996
2025-05-21,7.036,26381193
2025-05-22,7.074,25087439
2025-05-23,6.97,44036179
2025-05-26,7.058,29624703
2025-05-27,7.105,27277308
2025-05-28,7.034,25817509
2025-05-29,7.03,17158157
2025-05-30,7.031,53589200
2025-06-02,7.041,22429660
2025-06-03,7,23324156
2025-06-04,6.95,17347495
2025-06-05,7.049,18045880
2025-06-06,7.078,19460304
2025-06-09,7.083,13797577
2025-06-10,6.94,21806341
2025-06-11,6.962,20917432
2025-06-12,6.999,18918697
2025-06-13,6.859,25213152
2025-06-16,7.128,31554905
2025-06-17,6.937,24132683
2025-06-18,6.962,20808095
2025-06-19,6.795,19429003
2025-06-20,6.915,47731898
2025-06-23,6.857,19708254
2025-06-24,7.072,27221580
2025-06-25,6.903,19685867
2025-06-26,6.886,18452693
2025-06-27,7.037,19736038
2025-06-30,7.027,19668686
2025-07-01,6.965,15620463
2025-07-02,7.12,35840398
2025-07-03,7.248,25504547
2025-07-04,7.129,17153534
2025-07-07,7.299,21436746
2025-07-08,7.375,29736062
2025-07-09,7.55,31053946
2025-07-10,7.341,24243393
2025-07-11,7.212,15897768
2025-07-14,7.231,17880963
2025-07-15,7.144,14346373
2025-07-16,7.172,17207251
2025-07-17,7.29,14577670
2025-07-18,7.254,18027794
2025-07-21,7.284,14225152
2025-07-22,7.228,14243350
2025-07-23,7.383,22774227
2025-07-24,7.577,26668228
2025-07-25,7.593,16256498
2025-07-28,7.552,20133316
2025-07-29,7.717,34090279
2025-07-30,7.694,31293948
2025-07-31,7.536,35725077
2025-08-01,7.195,42996454
2025-08-04,7.48,19684572
2025-08-05,7.491,18763333
2025-08-06,7.608,17078999
2025-08-07,7.775,24457666
2025-08-08,7.955,27106103
2025-08-11,8,19951706
2025-08-12,8.015,20424787
2025-08-13,8.136,22508974
2025-08-14,8.218,20813073
2025-08-15,8.244,18906979
2025-08-18,8.164,8531008
