time,close,Volume
2018-12-12,10.232,10620690
2018-12-13,10.242,6841428
2018-12-14,10.136,5595892
2018-12-17,9.911,6949562
2018-12-18,9.85,7193048
2018-12-19,9.872,5553581
2018-12-20,9.477,9753837
2018-12-21,9.435,16245337
2018-12-24,9.288,1894817
2018-12-27,9.173,7298381
2018-12-28,9.406,5979391
2018-12-31,9.43,1618681
2019-01-02,9.313,4976608
2019-01-03,9.283,5575061
2019-01-04,9.764,9009845
2019-01-07,9.748,5238089
2019-01-08,9.811,6083094
2019-01-09,9.799,5664381
2019-01-10,9.882,5354884
2019-01-11,9.886,4812788
2019-01-14,9.958,4669781
2019-01-15,9.956,5997502
2019-01-16,10.346,7921813
2019-01-17,10.154,8627338
2019-01-18,10.324,6648665
2019-01-21,10.228,3077002
2019-01-22,10.07,6598939
2019-01-23,10.108,5981144
2019-01-24,10.132,6486170
2019-01-25,10.378,5875939
2019-01-28,10.14,5970953
2019-01-29,10.118,4403664
2019-01-30,10.162,3940386
2019-01-31,9.959,7803564
2019-02-01,9.911,6331535
2019-02-04,9.713,6869649
2019-02-05,9.96,7224751
2019-02-06,10.17,8061865
2019-02-07,9.862001,8200263
2019-02-08,9.551,8618873
2019-02-11,9.636,4727510
2019-02-12,9.802,6680512
2019-02-13,9.885,6894345
2019-02-14,9.8,7754263
2019-02-15,10.196,10726137
2019-02-18,10.446,8112985
2019-02-19,10.456,6428297
2019-02-20,10.59,7322661
2019-02-21,10.492,8018992
2019-02-22,10.562,6668831
2019-02-25,10.754,6227377
2019-02-26,10.81,5643232
2019-02-27,11.1,9250990
2019-02-28,11.232,8690230
2019-03-01,11.138,8024737
2019-03-04,11.11,4209830
2019-03-05,11.07,6172405
2019-03-06,11.006,8541656
2019-03-07,10.658,11681830
2019-03-08,10.6,8462105
2019-03-11,10.886,7402806
2019-03-12,10.878,7407372
2019-03-13,11.002,5778723
2019-03-14,10.952,6352609
2019-03-15,11.042,24118542
2019-03-18,11.326,7429402
2019-03-19,11.31,5159120
2019-03-20,11.112,5506173
2019-03-21,10.922,5734720
2019-03-22,10.51,10157130
2019-03-25,10.47,5315320
2019-03-26,10.492,3476768
2019-03-27,10.866,10976061
2019-03-28,10.66,5392258
2019-03-29,10.77,5138721
2019-04-01,11.085,5645923
2019-04-02,11.165,4493898
2019-04-03,11.375,7690044
2019-04-04,11.47,4799392
2019-04-05,11.34,4749489
2019-04-08,11.315,3944378
2019-04-09,11.355,5017003
2019-04-10,11.38,5337677
2019-04-11,11.58,6466527
2019-04-12,11.94,8949518
2019-04-15,12.2,7622776
2019-04-16,12.37,8466814
2019-04-17,12.315,6536874
2019-04-18,12.47,8299743
2019-04-23,12.165,7292297
2019-04-24,12.045,5794651
2019-04-25,12.015,4185773
2019-04-26,12.125,4677671
2019-04-29,12.39,6353659
2019-04-30,12.23,4961850
2019-05-02,12.34,6636696
2019-05-03,12.38,4121316
2019-05-06,12.255,5947767
2019-05-07,12.085,7035944
2019-05-08,12.115,4274539
2019-05-09,11.565,9184342
2019-05-10,11.555,5523045
2019-05-13,11.26,6931686
2019-05-14,11.365,5593348
2019-05-15,11.07,13883917
2019-05-16,11.32,7675073
2019-05-17,11.2,7275766
2019-05-20,11.07,6711361
2019-05-21,11.205,6164088
2019-05-22,10.98,6676474
2019-05-23,10.675,7529911
2019-05-24,10.185,9990970
2019-05-27,10.35,4949216
2019-05-28,10.31,6549362
2019-05-29,10.22,6623880
2019-05-30,10.32,4015918
2019-05-31,10.23,5422811
2019-06-03,10.17,4390591
2019-06-04,10.52,7976145
2019-06-05,10.415,5014067
2019-06-06,10.24,8183991
2019-06-07,10.29,5115303
2019-06-10,10.495,3554798
2019-06-11,10.5,4330784
2019-06-12,10.375,3717760
2019-06-13,10.385,3601180
2019-06-14,10.295,3148228
2019-06-17,10.37,3525733
2019-06-18,10.51,5996749
2019-06-19,10.75,6404118
2019-06-20,10.435,7946341
2019-06-21,10.37,11164460
2019-06-24,10.335,6730625
2019-06-25,10.22,5389166
2019-06-26,10.37,4313892
2019-06-27,10.49,4682234
2019-06-28,10.545,4317528
2019-07-01,10.785,6920990
2019-07-02,10.75,4519284
2019-07-03,10.925,4568041
2019-07-04,11.12,5538675
2019-07-05,11.13,4703944
2019-07-08,10.975,3729278
2019-07-09,10.935,3572865
2019-07-10,10.97,3909292
2019-07-11,10.97,3231397
2019-07-12,10.995,3647619
2019-07-15,11.01,3427094
2019-07-16,11.12,3222586
2019-07-17,10.965,3103072
2019-07-18,10.79,6925481
2019-07-19,10.79,4752958
2019-07-22,10.81,3287559
2019-07-23,11.02,4366992
2019-07-24,11.04,3269098
2019-07-25,11.05,7333323
2019-07-26,11,3456864
2019-07-29,10.955,2722033
2019-07-30,10.645,5876579
2019-07-31,10.78,4919710
2019-08-01,10.87,5846812
2019-08-02,10.34,11619693
2019-08-05,10.26,6675471
2019-08-06,10.215,4798303
2019-08-07,10.11,8051333
2019-08-08,10.33,6300795
2019-08-09,10.175,5606336
2019-08-12,9.99,5695025
2019-08-13,10.13,8885996
2019-08-14,9.932,7889426
2019-08-15,9.91,5666116
2019-08-16,10.23,13631138
2019-08-19,10.28,6600281
2019-08-20,10.13,5148111
2019-08-21,10.17,3709046
2019-08-22,10.255,4429060
2019-08-23,10.085,5139085
2019-08-26,10.14,2787838
2019-08-27,10.08,3669328
2019-08-28,10.1,2904728
2019-08-29,10.27,3970634
2019-08-30,10.39,4852556
2019-09-02,10.355,2690406
2019-09-03,10.295,3401458
2019-09-04,10.38,2708259
2019-09-05,10.67,5734151
2019-09-06,10.715,4372721
2019-09-09,11.01,6103460
2019-09-10,11.255,9878398
2019-09-11,11.13,7991862
2019-09-12,11.155,9013031
2019-09-13,11.485,8984384
2019-09-16,11.36,4325957
2019-09-17,11.07,5764830
2019-09-18,11.035,3965416
2019-09-19,11.25,5086845
2019-09-20,11.28,8448854
2019-09-23,11.13,5338174
2019-09-24,10.97,4394564
2019-09-25,11.015,5200318
2019-09-26,11.07,4549566
2019-09-27,11.115,3848837
2019-09-30,11.14,5196742
2019-10-01,10.985,4358999
2019-10-02,10.62,7370667
2019-10-03,10.525,5615587
2019-10-04,10.575,4471314
2019-10-07,10.65,3591738
2019-10-08,10.485,4680614
2019-10-09,10.49,4127551
2019-10-10,10.735,5986282
2019-10-11,11.22,8678227
2019-10-14,11.245,3564913
2019-10-15,11.415,5670525
2019-10-16,11.64,9094210
2019-10-17,11.545,6867164
2019-10-18,11.545,6310815
2019-10-21,11.79,5382902
2019-10-22,11.82,5289909
2019-10-23,11.82,4191109
2019-10-24,11.815,6255696
2019-10-25,11.98,6850960
2019-10-28,12.005,5740685
2019-10-29,11.95,4142212
2019-10-30,11.695,6722909
2019-10-31,11.685,7751231
2019-11-01,11.77,5059301
2019-11-04,11.99,6080172
2019-11-05,12.065,4177796
2019-11-06,12.16,7402202
2019-11-07,12.57,11650254
2019-11-08,12.28,10277849
2019-11-11,12.415,5836784
2019-11-12,12.73,8358966
2019-11-13,12.485,7240020
2019-11-14,12.545,5266172
2019-11-15,12.6,5636734
2019-11-18,12.56,4250613
2019-11-19,12.56,6072612
2019-11-20,12.59,5015921
2019-11-21,12.57,4977955
2019-11-22,12.655,4157389
2019-11-25,12.64,3496761
2019-11-26,12.595,4607190
2019-11-27,12.655,3825646
2019-11-28,12.485,4201707
2019-11-29,12.415,3601363
2019-12-02,12.34,6203459
2019-12-03,12.125,6276215
2019-12-04,12.36,5380874
2019-12-05,12.4,4279863
2019-12-06,12.575,5717844
2019-12-09,12.61,3819390
2019-12-10,12.62,4588406
2019-12-11,12.665,3710267
2019-12-12,12.925,8787451
2019-12-13,13.055,10555940
2019-12-16,13.15,4488108
2019-12-17,13.125,4115098
2019-12-18,13.16,3883124
2019-12-19,13.15,4924609
2019-12-20,13.065,11023956
2019-12-23,13.01,3346437
2019-12-24,13.015,419849
2019-12-27,13.02,2698403
2019-12-30,12.935,2428753
2019-12-31,12.925,1280478
2020-01-02,13.185,4392676
2020-01-03,13.105,3514705
2020-01-06,12.975,4882596
2020-01-07,12.945,3441603
2020-01-08,13.005,3526669
2020-01-09,13.015,3922393
2020-01-10,12.875,4631967
2020-01-13,12.855,4743729
2020-01-14,12.92,4315032
2020-01-15,12.765,4903776
2020-01-16,12.775,5327337
2020-01-17,12.87,5510889
2020-01-20,12.81,2287570
2020-01-21,12.765,4975664
2020-01-22,12.63,4542460
2020-01-23,12.49,8794265
2020-01-24,12.575,5761391
2020-01-27,12.325,6147589
2020-01-28,12.46,5557853
2020-01-29,12.435,4741326
2020-01-30,12.28,6180766
2020-01-31,12.23,5902444
2020-02-03,12.34,4723880
2020-02-04,12.565,5398239
2020-02-05,13.045,9804514
2020-02-06,13.315,8919733
2020-02-07,13.44,6122044
2020-02-10,13.395,4553964
2020-02-11,13.49,5915315
2020-02-12,13.54,6830764
2020-02-13,13.65,6585573
2020-02-14,13.49,5924581
2020-02-17,13.635,5106890
2020-02-18,13.35,6994452
2020-02-19,13.335,5420742
2020-02-20,13.155,5499646
2020-02-21,13.14,7858511
2020-02-24,12.7,12374632
2020-02-25,12.24,12726461
2020-02-26,12.1,12277539
2020-02-27,11.355,22006108
2020-02-28,10.81,25329145
2020-03-02,10.47,24513453
2020-03-03,10.225,19623272
2020-03-04,10.125,16914038
2020-03-05,9.66,20783311
2020-03-06,9.298,23647960
2020-03-09,7.73,36654636
2020-03-10,7.708,30896832
2020-03-11,7.896,20910971
2020-03-12,6.594,33672612
2020-03-13,6.862,35510688
2020-03-16,6.078,23077738
2020-03-17,6.522,15244798
2020-03-18,6.242,12615728
2020-03-19,6.22,14025173
2020-03-20,6.828,13981580
2020-03-23,6.548,13732611
2020-03-24,7.052,14639315
2020-03-25,7.438,12900535
2020-03-26,7.456,11423081
2020-03-27,7.006,11089524
2020-03-30,6.698,10953305
2020-03-31,6.69,9488221
2020-04-01,6.344,9894471
2020-04-02,6.256,11098168
2020-04-03,6.018,12180267
2020-04-06,6.244,23625763
2020-04-07,6.7,15308058
2020-04-08,6.716,8153453
2020-04-09,6.974,11136490
2020-04-14,6.786,11687188
2020-04-15,6.234,12455102
2020-04-16,6.196,8961952
2020-04-17,6.53,9331519
2020-04-20,6.516,4864562
2020-04-21,6.256,6408185
2020-04-22,6.476,5784036
2020-04-23,6.758,7917892
2020-04-24,6.542,5412369
2020-04-27,6.838,7499066
2020-04-28,7.258,14492699
2020-04-29,7.746,10937605
2020-04-30,7.282,12807958
2020-05-04,6.902,9236156
2020-05-05,7.166,7088562
2020-05-06,7,6785474
2020-05-07,7.178,5487033
2020-05-08,7.26,3971756
2020-05-11,7.024,5057320
2020-05-12,6.966,5782567
2020-05-13,6.788,6431078
2020-05-14,6.696,7396597
2020-05-15,6.808,11715477
2020-05-18,7.224,7658561
2020-05-19,7.024,9033448
2020-05-20,7.066,10449159
2020-05-21,6.852,7213742
2020-05-22,6.892,6584313
2020-05-25,7.03,3938578
2020-05-26,7.592,12812483
2020-05-27,7.994,17433772
2020-05-28,7.996,8970166
2020-05-29,7.824,10521864
2020-06-01,8.016,4595975
2020-06-02,8.2,9429702
2020-06-03,8.484,10734424
2020-06-04,8.554,11054309
2020-06-05,9.096,14739542
2020-06-08,9.28,10896724
2020-06-09,8.692,15412663
2020-06-10,8.578,8610069
2020-06-11,8.056,10883659
2020-06-12,8.126,10188797
2020-06-15,8.06,7921830
2020-06-16,8.336,10182417
2020-06-17,8.296,6852140
2020-06-18,8.236,6438072
2020-06-19,8.066,15745889
2020-06-22,8.082,5268459
2020-06-23,8.4,7793656
2020-06-24,8.036,6614991
2020-06-25,8.278,7869905
2020-06-26,8.084,6032029
2020-06-29,8.386,7633949
2020-06-30,8.428001,6648215
2020-07-01,8.378,7055039
2020-07-02,8.752,9227023
2020-07-03,8.718,5838568
2020-07-06,8.962,7723072
2020-07-07,8.886,4981197
2020-07-08,8.76,5259669
2020-07-09,8.556,5474743
2020-07-10,8.852,5787253
2020-07-13,8.946,5430605
2020-07-14,9.01,5645099
2020-07-15,9.13,7329813
2020-07-16,9.216,5027923
2020-07-17,9.114,6227102
2020-07-20,9.13,4647877
2020-07-21,9.212,7754276
2020-07-22,9,6162510
2020-07-23,8.986,4084363
2020-07-24,8.908,4306408
2020-07-27,8.724,4848410
2020-07-28,8.746,3493577
2020-07-29,8.65,4166104
2020-07-30,8.244,9152354
2020-07-31,8.126,8034205
2020-08-03,8.372,6178017
2020-08-04,8.536,5542610
2020-08-05,8.534,4148906
2020-08-06,8.442,5405484
2020-08-07,8.454001,3975291
2020-08-10,8.612001,4286151
2020-08-11,9.03,8665574
2020-08-12,9.088,6712426
2020-08-13,8.906,4232405
2020-08-14,8.788,5276417
2020-08-17,8.692,3581039
2020-08-18,8.568,3612637
2020-08-19,8.698,3339884
2020-08-20,8.462,4588979
2020-08-21,8.332,4662175
2020-08-24,8.574,4117726
2020-08-25,8.596,4427148
2020-08-26,8.666,3103719
2020-08-27,8.616,3033591
2020-08-28,8.896,7499955
2020-08-31,8.588,5260448
2020-09-01,8.514,5875522
2020-09-02,8.436,6172660
2020-09-03,8.438,4787816
2020-09-04,8.67,8442115
2020-09-07,8.744,3839102
2020-09-08,8.516,5282056
2020-09-09,8.658,4969574
2020-09-10,8.686,5389022
2020-09-11,8.524,5860993
2020-09-14,8.642,3406700
2020-09-15,8.538,4305587
2020-09-16,8.448,6285394
2020-09-17,8.36,4892058
2020-09-18,8.096,12227387
2020-09-21,7.662,9880167
2020-09-22,7.618,5661293
2020-09-23,7.56,6344479
2020-09-24,7.422,6682120
2020-09-25,7.164,9706968
2020-09-28,7.578,8063089
2020-09-29,7.402,4163254
2020-09-30,7.472,5046335
2020-10-01,7.338,5296791
2020-10-02,7.252,5890246
2020-10-05,7.384,5880843
2020-10-06,7.77,7433846
2020-10-07,7.666,6843099
2020-10-08,7.778,4523966
2020-10-09,7.67,5917701
2020-10-12,7.71,4407030
2020-10-13,7.418,5817785
2020-10-14,7.49,3390669
2020-10-15,7.248,8410663
2020-10-16,7.344,7058929
2020-10-19,7.388,3127574
2020-10-20,7.436,4761614
2020-10-21,7.324,4209329
2020-10-22,7.378,4808573
2020-10-23,7.516,4812904
2020-10-26,7.354,5742545
2020-10-27,7.026,7725116
2020-10-28,6.72,11676944
2020-10-29,6.66,8725304
2020-10-30,6.782,6559964
2020-11-02,6.982,5612951
2020-11-03,7.286,12646540
2020-11-04,7.376,7999349
2020-11-05,7.546,7188295
2020-11-06,7.434,6323426
