time,close,Volume
2019-01-04,9.837,22826655
2019-01-07,9.863,15449655
2019-01-08,9.939,17211014
2019-01-09,9.821,20728127
2019-01-10,9.851,12981306
2019-01-11,9.826,11108577
2019-01-14,9.887,14019746
2019-01-15,9.932,15261693
2019-01-16,10.294,17473111
2019-01-17,10.112,14752806
2019-01-18,10.454,24591399
2019-01-21,10.388,8858729
2019-01-22,10.372,12618301
2019-01-23,10.446,15842908
2019-01-24,10.334,18235826
2019-01-25,10.644,18526037
2019-01-28,10.514,13183644
2019-01-29,10.496,10453787
2019-01-30,10.55,10844733
2019-01-31,10.312,21476179
2019-02-01,10.314,17027374
2019-02-04,10.206,16490294
2019-02-05,10.42,17578278
2019-02-06,11.058,36963239
2019-02-07,10.854,19626380
2019-02-08,10.73,14777165
2019-02-11,10.874,13702679
2019-02-12,10.9,14299140
2019-02-13,10.908,14466693
2019-02-14,10.722,14925743
2019-02-15,11.042,26537491
2019-02-18,11.096,11542896
2019-02-19,11.072,12572678
2019-02-20,11.096,10702045
2019-02-21,10.95,13430545
2019-02-22,11.084,14051151
2019-02-25,11.248,13637747
2019-02-26,11.35,12494823
2019-02-27,11.554,19634257
2019-02-28,11.632,22106964
2019-03-01,11.672,18680027
2019-03-04,11.63,10131123
2019-03-05,11.244,32831813
2019-03-06,10.994,40571390
2019-03-07,10.708,37373993
2019-03-08,10.444,27015130
2019-03-11,10.722,17924097
2019-03-12,10.672,15776474
2019-03-13,10.818,13409505
2019-03-14,10.93,14726633
2019-03-15,11.084,35436761
2019-03-18,10.97,22783356
2019-03-19,10.966,17269812
2019-03-20,10.75,17219880
2019-03-21,10.742,13579245
2019-03-22,10.464,21336364
2019-03-25,10.492,14461760
2019-03-26,10.482,11197329
2019-03-27,10.748,23777091
2019-03-28,10.65,10622320
2019-03-29,10.784,14240587
2019-04-01,11.038,15135990
2019-04-02,11.162,12870593
2019-04-03,11.324,16160372
2019-04-04,11.42,10175576
2019-04-05,11.306,11465236
2019-04-08,11.29,7251008
2019-04-09,11.312,11722695
2019-04-10,11.248,13745243
2019-04-11,11.452,15440849
2019-04-12,11.866,25270034
2019-04-15,11.942,15184347
2019-04-16,12.052,21515425
2019-04-17,11.994,21558492
2019-04-18,12.04,20792435
2019-04-23,11.954,14602500
2019-04-24,11.734,16488397
2019-04-25,11.33,13910565
2019-04-26,11.316,10248017
2019-04-29,11.382,12104757
2019-04-30,11.356,14642715
2019-05-02,11.3,15773656
2019-05-03,11.242,8903293
2019-05-06,11.038,12596826
2019-05-07,10.81,11789883
2019-05-08,10.75,14744032
2019-05-09,10.43,14745144
2019-05-10,10.442,14315428
2019-05-13,10.236,11443420
2019-05-14,10.314,12490074
2019-05-15,10.086,20138460
2019-05-16,10.252,13859179
2019-05-17,10.114,14861953
2019-05-20,9.957,16283337
2019-05-21,10.056,10746337
2019-05-22,9.898,15715645
2019-05-23,9.699,18705564
2019-05-24,9.756,13897874
2019-05-27,9.774,7409416
2019-05-28,9.82,17405153
2019-05-29,9.718,14700356
2019-05-30,9.76,9858519
2019-05-31,9.695,14683822
2019-06-03,9.602,15897223
2019-06-04,9.982,23765183
2019-06-05,9.89,15408903
2019-06-06,9.803001,23464445
2019-06-07,9.855,16113222
2019-06-10,10.074,11700110
2019-06-11,10.13,14623280
2019-06-12,10.024,10672461
2019-06-13,9.927,11987421
2019-06-14,9.821,11777340
2019-06-17,9.873,10522049
2019-06-18,10.07,20887871
2019-06-19,10.238,14103993
2019-06-20,9.951,17366119
2019-06-21,9.859,31078612
2019-06-24,9.793,14132032
2019-06-25,9.73,10601949
2019-06-26,9.998,21343050
2019-06-27,10.186,17858063
2019-06-28,10.196,11752159
2019-07-01,10.228,12499058
2019-07-02,10.164,12116509
2019-07-03,10.298,10944843
2019-07-04,10.408,11599930
2019-07-05,10.498,15049106
2019-07-08,10.292,12990493
2019-07-09,10.21,11084762
2019-07-10,10.276,11925618
2019-07-11,10.372,11220587
2019-07-12,10.39,11921115
2019-07-15,10.372,8612256
2019-07-16,10.488,11462386
2019-07-17,10.284,11463191
2019-07-18,10.238,9755621
2019-07-19,10.082,16532246
2019-07-22,10.074,10362366
2019-07-23,10.272,11933793
2019-07-24,10.288,9415931
2019-07-25,10.454,27133737
2019-07-26,10.412,11682526
2019-07-29,10.342,8080016
2019-07-30,10.082,17120366
2019-07-31,10.072,12079785
2019-08-01,9.839,28636805
2019-08-02,9.252,42926495
2019-08-05,8.851,27431214
