time,close,Volume
2018-12-03,627.40002,8626556
2018-12-04,608,7939630
2018-12-05,602.20001,6095548
2018-12-06,585.29999,8371911
2018-12-07,593.20001,6158925
2018-12-10,580.5,6556845
2018-12-11,589.5,4906617
2018-12-12,609.90002,7116604
2018-12-13,607.20001,4811125
2018-12-14,604.70001,3991603
2018-12-17,590,6557617
2018-12-18,590.59998,4569141
2018-12-19,592.70001,3702846
2018-12-20,590.09998,5157438
2018-12-21,595,11685285
2018-12-24,592.20001,965776
2018-12-27,581.70001,4069487
2018-12-28,601,4023564
2018-12-31,609.29999,2081246
2019-01-02,606.40002,3989689
2019-01-03,586.70001,6134041
2019-01-04,607.79999,6644668
2019-01-07,594.59998,6215919
2019-01-08,613,6048163
2019-01-09,615.09998,4353412
2019-01-10,621,3684306
2019-01-11,616.90002,3492906
2019-01-14,613,3256349
2019-01-15,613.90002,4511208
2019-01-16,611.79999,5172489
2019-01-17,603,3448273
2019-01-18,623.70001,6201538
2019-01-21,625.5,2652023
2019-01-22,623.20001,3695172
2019-01-23,622,4397818
2019-01-24,619.90002,4452585
2019-01-25,625.40002,3867965
2019-01-28,623.20001,3487885
2019-01-29,624.70001,4850440
2019-01-30,632.09998,4187916
2019-01-31,613.90002,6325492
2019-02-01,621.79999,3621668
2019-02-04,621.29999,3387184
2019-02-05,634.79999,5357471
2019-02-06,639.29999,3594749
2019-02-07,625.40002,3777834
2019-02-08,618,3590319
2019-02-11,627.29999,3454591
2019-02-12,628.29999,2988358
2019-02-13,631.40002,3866022
2019-02-14,629.90002,3806710
2019-02-15,637.90002,4648359
2019-02-18,628.5,3480236
2019-02-19,615.20001,5413965
2019-02-20,616.79999,4258414
2019-02-21,612.90002,4085623
2019-02-22,609.09998,4676236
2019-02-25,618.90002,4906821
2019-02-26,615,6958630
2019-02-27,602.20001,6693571
2019-02-28,601.59998,7843282
2019-03-01,611.29999,5530053
2019-03-04,624.09998,6583848
2019-03-05,633.09998,8548517
2019-03-06,631,4268534
2019-03-07,618.29999,8457013
2019-03-08,610.5,6288041
2019-03-11,611.40002,5699258
2019-03-12,613,4916307
2019-03-13,612.70001,4087176
2019-03-14,608.5,4658840
2019-03-15,610,8987123
2019-03-18,617.79999,5280100
2019-03-19,610.70001,6520007
2019-03-20,608.79999,4856387
2019-03-21,606.40002,4101662
2019-03-22,578.59998,9345216
2019-03-25,580.70001,6189621
2019-03-26,575.70001,5984266
2019-03-27,579.70001,5250078
2019-03-28,583.59998,4198793
2019-03-29,591.29999,6644812
2019-04-01,611.59998,7303603
2019-04-02,632.59998,8909270
2019-04-03,643.59998,17334954
2019-04-04,640,6071713
2019-04-05,645.59998,5287507
2019-04-08,645.59998,3984119
2019-04-09,647.40002,7476849
2019-04-10,647.79999,3739334
2019-04-11,649.40002,4731304
2019-04-12,672.20001,8109977
2019-04-15,671,5003785
2019-04-16,672.59998,5039842
2019-04-17,672.79999,4776092
2019-04-18,672,4229192
2019-04-23,671.59998,5108456
2019-04-24,660.20001,5680223
2019-04-25,651.79999,5599821
2019-04-26,662.40002,5809182
2019-04-29,669.40002,4367929
2019-04-30,700,13031397
2019-05-01,711.20001,4010028
2019-05-02,707.59998,7661898
2019-05-03,710.40002,6088259
2019-05-07,692.59998,10600748
2019-05-08,688,8566148
2019-05-09,679.59998,12444528
2019-05-10,679.79999,5518462
2019-05-13,668.20001,7268417
2019-05-14,679,8626769
2019-05-15,677.59998,6667074
2019-05-16,692.79999,7984015
2019-05-17,677.20001,8641697
2019-05-20,677,7011920
2019-05-21,686.59998,6260528
2019-05-22,688,6675425
2019-05-23,675.20001,8864701
2019-05-24,684.59998,5395353
2019-05-28,691.20001,8938940
2019-05-29,679.20001,6540129
2019-05-30,693.59998,6726124
2019-05-31,687,8126024
2019-06-03,674.59998,7041860
2019-06-04,682.79999,7845083
2019-06-05,685.40002,5727782
2019-06-06,682.59998,5339518
2019-06-07,692,8426826
2019-06-10,707.20001,8498104
2019-06-11,701.59998,8882449
2019-06-12,683.79999,7303988
2019-06-13,683.59998,5798483
2019-06-14,676.40002,7595341
2019-06-17,689.20001,5633680
2019-06-18,709.59998,8767426
2019-06-19,711.20001,7042388
2019-06-20,708.20001,5474471
2019-06-21,702.79999,13078921
2019-06-24,694.59998,6983936
2019-06-25,702.40002,8563818
2019-06-26,707.40002,4920686
2019-06-27,710.79999,5239398
2019-06-28,714.20001,6851004
2019-07-01,713.40002,6427927
2019-07-02,722,7014382
2019-07-03,734,7468377
2019-07-04,735.40002,4439434
2019-07-05,734.79999,5582873
2019-07-08,733.20001,5129079
2019-07-09,736.79999,5245671
2019-07-10,733.79999,5765668
2019-07-11,720.59998,7469619
2019-07-12,715.20001,9436899
2019-07-15,717,6377968
2019-07-16,721.20001,6836479
2019-07-17,710.59998,6481228
2019-07-18,714.20001,6114837
2019-07-19,713.20001,4926999
2019-07-22,703.59998,7965433
2019-07-23,714.59998,6361665
2019-07-24,682.40002,10687090
2019-07-25,687.20001,6683443
2019-07-26,690.20001,5170053
2019-07-29,690.20001,5227780
2019-07-30,683.40002,6452374
2019-07-31,676.79999,8608202
2019-08-01,699.20001,10771260
2019-08-02,672.59998,7957111
2019-08-05,638.40002,9274793
2019-08-06,630.79999,6670589
2019-08-07,627,6565818
2019-08-08,635.40002,5186635
2019-08-09,626.40002,5038505
2019-08-12,614.20001,6278069
2019-08-13,622.40002,7114491
2019-08-14,607.59998,7229270
2019-08-15,602.40002,5643311
2019-08-16,612.40002,5310353
2019-08-19,618.40002,4391970
2019-08-20,617,4664533
2019-08-21,623,6093945
2019-08-22,620.20001,5948126
2019-08-23,614.40002,5684036
2019-08-27,606.79999,6410367
2019-08-28,610.59998,5304417
2019-08-29,621,5954147
2019-08-30,622,8268853
2019-09-02,627.79999,5058115
2019-09-03,624.79999,5946106
2019-09-04,643.40002,9938599
2019-09-05,645.79999,6647087
2019-09-06,649,4844718
2019-09-09,659.20001,5272574
2019-09-10,683,8401184
2019-09-11,682.40002,8072212
2019-09-12,681.79999,6063058
2019-09-13,701.40002,8068151
2019-09-16,690.79999,7444503
2019-09-17,690,7010504
2019-09-18,680.20001,8106222
2019-09-19,690.59998,9480030
2019-09-20,688.20001,16678463
2019-09-23,685,5154207
2019-09-24,675,6234181
2019-09-25,675,5949458
2019-09-26,680.40002,4602020
2019-09-27,683,4695691
2019-09-30,684.20001,4777386
2019-10-01,666.79999,5048691
2019-10-02,652.79999,9689978
2019-10-03,641.20001,5911119
2019-10-04,638.59998,4619803
2019-10-07,637.40002,4955436
2019-10-08,632,9305586
2019-10-09,632,4541707
2019-10-10,647.20001,6325745
2019-10-11,655.40002,5237618
2019-10-14,654.79999,4352483
2019-10-15,662.59998,4935946
2019-10-16,658.40002,4606389
2019-10-17,659.40002,5453640
2019-10-18,651.40002,4722105
2019-10-21,665,7979911
2019-10-22,683.59998,6665916
2019-10-23,688.79999,5917263
2019-10-24,702,7219886
2019-10-25,692,7668220
2019-10-28,692.20001,4696825
2019-10-29,695,5588762
2019-10-30,712.79999,8120883
2019-10-31,701,9690958
2019-11-01,706,8042886
2019-11-04,718.20001,4368399
2019-11-05,736.59998,9020338
2019-11-06,735,5585833
2019-11-07,733.59998,6524795
2019-11-08,726,4867025
2019-11-11,712.59998,5774677
2019-11-12,713,4930947
2019-11-13,708.79999,4709100
2019-11-14,703.59998,4556303
2019-11-15,703.20001,6005387
2019-11-18,697.59998,3605591
2019-11-19,696.59998,5209581
2019-11-20,686,5512054
2019-11-21,679.20001,8458455
2019-11-22,690.20001,4650910
2019-11-25,701.40002,4079509
2019-11-26,705,7791612
2019-11-27,703.79999,5539770
2019-11-28,696,2664975
2019-11-29,697.40002,4997082
2019-12-02,694.20001,4055616
2019-12-03,677.20001,6007517
2019-12-04,679,4923363
2019-12-05,671.59998,4341403
2019-12-06,675.79999,5872719
2019-12-09,678.40002,3991868
2019-12-10,682.79999,4789690
2019-12-11,691.20001,6114815
2019-12-12,718,9449278
2019-12-13,704.79999,8644284
2019-12-16,721.20001,5286135
2019-12-17,729.40002,5382847
2019-12-18,733,4273623
2019-12-19,738.59998,4435092
2019-12-20,723.20001,8993342
2019-12-23,725.59998,1965498
2019-12-24,727,1269841
2019-12-27,722.79999,2568982
2019-12-30,717.79999,2513668
2019-12-31,712.40002,1181302
2020-01-02,720,2573708
2020-01-03,720.79999,2964041
2020-01-06,707,4357534
2020-01-07,701.59998,4094406
2020-01-08,698.79999,3839053
2020-01-09,707.79999,4051356
2020-01-10,710.59998,2709054
2020-01-13,714,3287244
2020-01-14,716.59998,3913678
2020-01-15,703.20001,3964462
2020-01-16,701.59998,3180155
2020-01-17,702,4063020
2020-01-20,699.40002,1889159
2020-01-21,691,3522713
2020-01-22,689,2870554
2020-01-23,680.40002,4218851
2020-01-24,688.79999,2325158
2020-01-27,657.59998,5437141
2020-01-28,662,5654441
2020-01-29,660.20001,4353682
2020-01-30,649.59998,4679857
2020-01-31,631,6228172
2020-02-03,630.59998,4028365
2020-02-04,638.40002,4145068
2020-02-05,640.79999,10902100
2020-02-06,638.79999,6266547
2020-02-07,636.79999,4733425
2020-02-10,630.59998,3175070
2020-02-11,642.79999,5415213
2020-02-12,641.40002,3866941
2020-02-13,634.20001,4426391
2020-02-14,635.20001,3131482
2020-02-17,635.20001,2778441
2020-02-18,630.59998,5762536
2020-02-19,626.20001,6085814
2020-02-20,621.20001,4623188
2020-02-21,627,5688757
2020-02-24,606.59998,5902235
2020-02-25,584.40002,6838797
2020-02-26,591.59998,6089075
2020-02-27,570.59998,11349990
2020-02-28,562.59998,17293505
2020-03-02,550.40002,14839365
2020-03-03,538.20001,14144745
2020-03-04,558.40002,11702903
2020-03-05,532.20001,14382602
2020-03-06,519.59998,9241817
2020-03-09,456.29999,18083209
2020-03-10,473.20001,13746191
2020-03-11,471.89999,14305845
2020-03-12,418.20001,21028258
2020-03-13,436.89999,18990745
2020-03-16,442,14727232
2020-03-17,456.5,14820372
2020-03-18,453,13693139
2020-03-19,451.20001,18103669
2020-03-20,446.5,21034557
2020-03-23,421.10001,17606975
2020-03-24,450.60001,12203930
2020-03-25,473.39999,11429917
2020-03-26,481,8493465
2020-03-27,466.70001,8456902
2020-03-30,455.5,8076484
2020-03-31,445.79999,9838190
2020-04-01,413.39999,9731475
2020-04-02,398.39999,8290751
2020-04-03,406.39999,5301718
2020-04-06,421.10001,5310674
2020-04-07,434.10001,6731861
2020-04-08,437.10001,5373687
2020-04-09,450.89999,6174691
2020-04-14,424.20001,7330705
2020-04-15,394,12485412
2020-04-16,397,10018180
2020-04-17,406.5,9838545
2020-04-20,399.79999,6848239
2020-04-21,381.5,8967346
2020-04-22,382.79999,10633638
2020-04-23,391.89999,8993501
2020-04-24,376.29999,5677194
2020-04-27,383.10001,5954843
2020-04-28,389.89999,15774423
2020-04-29,435,12618976
2020-04-30,407.5,10167009
2020-05-01,408.5,4078806
2020-05-04,390.29999,4631444
2020-05-05,400.79999,5377375
2020-05-06,393.70001,4976393
2020-05-07,413.39999,4872037
2020-05-11,404.79999,5947115
2020-05-12,401.60001,4570009
2020-05-13,389.89999,6160735
2020-05-14,388.10001,7745204
2020-05-15,387,5349773
2020-05-18,402.29999,6569230
2020-05-19,410.79999,6746982
2020-05-20,413.5,7492222
2020-05-21,391.5,8064296
2020-05-22,382,8448726
2020-05-26,401,6152898
2020-05-27,411.39999,9167237
2020-05-28,392.10001,8344813
2020-05-29,368.39999,17283547
2020-06-01,400.29999,8163508
2020-06-02,400.5,6203310
2020-06-03,427.29999,10929669
2020-06-04,431,11657547
2020-06-05,464.5,11461282
2020-06-08,460.20001,8525285
2020-06-09,442.79999,6764658
2020-06-10,450,8180523
2020-06-11,414,6216295
2020-06-12,426.89999,6044538
2020-06-15,417.5,6154934
2020-06-16,428.60001,6037202
2020-06-17,425,3996726
2020-06-18,423.79999,3408462
2020-06-19,427,13479887
2020-06-22,428.20001,5883436
2020-06-23,430.60001,4811656
2020-06-24,420.70001,4882429
2020-06-25,424.79999,4882989
2020-06-26,422.60001,5184557
