time,close,Volume
2018-08-24,6.8,93100760
2018-08-27,6.91,101323846
2018-08-28,6.95,87395102
2018-08-29,6.9,40319539
2018-08-30,6.83,41493370
2018-08-31,6.88,72820411
2018-09-03,6.88,69002138
2018-09-04,6.93,63117600
2018-09-05,6.71,90470028
2018-09-06,6.67,49582472
2018-09-07,6.66,103132693
2018-09-10,6.62,64173954
2018-09-11,6.58,49273416
2018-09-12,6.54,49235886
2018-09-13,6.64,55078569
2018-09-14,6.65,46615889
2018-09-17,6.61,44795143
2018-09-18,6.69,50973975
2018-09-19,6.78,93015921
2018-09-20,6.85,94663119
2018-09-21,7.21,208122082
2018-09-25,7.1,124461331
2018-09-26,7.13,149199869
2018-09-27,7.13,73659178
2018-09-28,7.24,133449019
2018-10-08,6.93,137349062
2018-10-09,6.9,72889673
2018-10-10,6.94,70139230
2018-10-11,6.68,115828581
2018-10-12,6.93,117269523
2018-10-15,6.81,73966142
2018-10-16,6.86,93052856
2018-10-17,6.83,87386136
2018-10-18,6.73,91453258
2018-10-19,6.98,145434075
2018-10-22,7.19,175167172
2018-10-23,6.96,130806585
2018-10-24,7.15,129239392
2018-10-25,7.24,103736061
2018-10-26,7.28,103395794
2018-10-29,7.08,112648161
2018-10-30,7.13,106277945
2018-10-31,7.15,69728591
2018-11-01,7.09,86718875
2018-11-02,7.17,179192893
2018-11-05,7.05,111898443
2018-11-06,7,73958284
2018-11-07,6.97,72605928
2018-11-08,6.97,79928579
2018-11-09,6.72,251421186
2018-11-12,6.72,110370514
2018-11-13,6.72,87710444
2018-11-14,6.62,126012425
2018-11-15,6.67,73260499
2018-11-16,6.66,102926724
2018-11-19,6.76,116422512
2018-11-20,6.72,102813975
2018-11-21,6.72,47286587
2018-11-22,6.69,38671237
2018-11-23,6.65,75741850
2018-11-26,6.69,75948698
2018-11-27,6.66,39209465
2018-11-28,6.69,42131518
2018-11-29,6.63,49651350
2018-11-30,6.65,47541727
2018-12-03,6.77,144647923
2018-12-04,6.77,66629303
2018-12-05,6.73,49303055
2018-12-06,6.64,76707281
2018-12-07,6.63,41119891
2018-12-10,6.56,60397754
2018-12-11,6.59,29035022
2018-12-12,6.64,44553212
2018-12-13,6.73,105924739
2018-12-14,6.61,104739365
2018-12-17,6.66,43432395
2018-12-18,6.61,36573368
2018-12-19,6.54,52500170
2018-12-20,6.4,114380173
2018-12-21,6.3,86485463
2018-12-24,6.3,40935446
2018-12-25,6.28,61049050
2018-12-26,6.29,41201946
2018-12-27,6.29,73316001
2018-12-28,6.37,67021927
2019-01-02,6.25,51090055
2019-01-03,6.26,37558542
2019-01-04,6.36,72729495
2019-01-07,6.34,60593977
2019-01-08,6.34,45683190
2019-01-09,6.41,84075583
2019-01-10,6.34,46828645
2019-01-11,6.36,51793011
2019-01-14,6.3,37247365
2019-01-15,6.38,66864142
2019-01-16,6.41,47817444
2019-01-17,6.45,100067690
2019-01-18,6.64,146663482
2019-01-21,6.67,98294720
2019-01-22,6.6,48731253
2019-01-23,6.65,39620412
2019-01-24,6.68,44052634
2019-01-25,6.81,102973899
2019-01-28,6.77,68790898
2019-01-29,6.85,61726210
2019-01-30,6.86,70571604
2019-01-31,7.07,129708824
2019-02-01,7.06,79382478
2019-02-11,7.06,83390683
2019-02-12,7.05,54946010
2019-02-13,7.11,101605677
2019-02-14,7.03,77092177
2019-02-15,6.84,103867070
2019-02-18,6.97,104771328
2019-02-19,6.97,111733075
2019-02-20,6.97,58224106
2019-02-21,6.94,65659924
2019-02-22,6.95,131210702
2019-02-25,7.38,353290190
2019-02-26,7.19,256273227
2019-02-27,7.25,225990872
2019-02-28,7.18,111538823
2019-03-01,7.34,169326103
2019-03-04,7.36,290704380
2019-03-05,7.3,181278296
2019-03-06,7.33,160615875
2019-03-07,7.2,175589591
2019-03-08,6.91,216825679
2019-03-11,6.97,136330728
2019-03-12,7.01,143567915
2019-03-13,6.95,134847485
2019-03-14,6.95,92720731
2019-03-15,7.03,132540485
2019-03-18,7.15,135020980
2019-03-19,7.14,99548430
2019-03-20,7.14,85770554
2019-03-21,7.07,104998312
2019-03-22,7.03,100406025
2019-03-25,6.84,150304511
2019-03-26,6.81,102504430
2019-03-27,6.9,87771376
2019-03-28,6.82,96738151
2019-03-29,6.95,194162935
2019-04-01,7.14,265386854
2019-04-02,7.16,201446080
2019-04-03,7.23,168313938
2019-04-04,7.44,265980243
2019-04-08,7.38,230807672
2019-04-09,7.33,118824183
2019-04-10,7.31,128544285
2019-04-11,7.23,107559028
