time,close,Volume
2018-11-07,73.41,3341633
2018-11-08,73.6,2656273
2018-11-09,73.24,2652918
2018-11-12,72.57,2291221
2018-11-13,73.07,2827308
2018-11-14,72.85,2498627
2018-11-15,72.98,2430361
2018-11-16,72.62,2228000
2018-11-19,71.71,2310409
2018-11-20,70.45,3710262
2018-11-21,71.12,3383451
2018-11-22,71.04,916544
2018-11-23,71.45,1482615
2018-11-26,71.75,2935984
2018-11-27,71.95,3054746
2018-11-28,73.6,3754554
2018-11-29,73.48,3433071
2018-11-30,73.56,3609925
2018-12-03,73.06,3460957
2018-12-04,71.84,3733787
2018-12-05,72.05,2511192
2018-12-06,70.54,5947534
2018-12-07,69.83,5979163
2018-12-10,69.55,6375143
2018-12-11,69.39,4879300
2018-12-12,69.75,3445441
2018-12-13,69.72,2444209
2018-12-14,69.58,2756778
2018-12-17,68.8,4643509
2018-12-18,68.63,5707664
2018-12-19,67.58,5120162
2018-12-20,67.19,4928522
2018-12-21,66.15,12459305
2018-12-24,65.61,2347597
2018-12-27,67.51,3542756
2018-12-28,67.63,5883041
2018-12-31,67.86,3002562
2019-01-02,68.25,3930319
2019-01-03,67.3,5407673
2019-01-04,67.98,5103443
2019-01-07,67.69,5907030
2019-01-08,67.82,7337201
2019-01-09,68.14,5124534
2019-01-10,68.8,3953011
2019-01-11,68.86,3519720
2019-01-14,68.65,3248263
2019-01-15,69.33,2665492
2019-01-16,70.63,4320541
2019-01-17,71.34,3382194
2019-01-18,72.34,4799338
2019-01-21,72.9,1476060
2019-01-22,72.41,4053588
2019-01-23,72.2,3066980
2019-01-24,72.66,2512370
2019-01-25,72.83,1908093
2019-01-28,73.17,1971032
2019-01-29,73.71,3106167
2019-01-30,73.73,3368419
2019-01-31,74,4005719
2019-02-01,73.77,2475182
2019-02-04,74.26,4255771
2019-02-05,74.54,2923231
2019-02-06,74.78,2390988
2019-02-07,74.57,3772890
2019-02-08,74.62,1944349
2019-02-11,73.97,2727168
2019-02-12,74.63,2919733
2019-02-13,74.87,2409863
2019-02-14,74.61,2788863
2019-02-15,75.36,3419307
2019-02-19,75.69,3591267
2019-02-20,76.29,2810713
2019-02-21,76.33,3377347
2019-02-22,76.22,2373360
2019-02-25,76.57,2394774
2019-02-26,76.72,4146729
2019-02-27,77.3,3109669
2019-02-28,75.46,7009035
2019-03-01,75.16,3185866
2019-03-04,75.02,3554217
2019-03-05,75.07,3122108
2019-03-06,74.93,4231335
