time,close,Volume
2018-11-22,8.232,8261975
2018-11-23,8.17,8869065
2018-11-26,8.561,15003367
2018-11-27,8.658,9554735
2018-11-28,8.592,8060790
2018-11-29,8.3,21799450
2018-11-30,8.063,19048157
2018-12-03,8.322,13504097
2018-12-04,8.06,11324026
2018-12-05,8.055,13068963
2018-12-06,7.698,26117216
2018-12-07,7.705,13740483
2018-12-10,7.277,24623354
2018-12-11,7.43,15581399
2018-12-12,7.862,23854795
2018-12-13,7.86,18106161
2018-12-14,7.848,10446978
2018-12-17,7.66,12249251
2018-12-18,7.644,11976842
2018-12-19,7.53,11792807
2018-12-20,7,28220174
2018-12-21,7.042,38586144
2018-12-27,6.75,17761385
2018-12-28,6.967,9429341
2019-01-02,7.149,16731014
2019-01-03,7.098,12433219
2019-01-04,7.436,16572099
2019-01-07,7.551,12091778
2019-01-08,7.623,14390276
2019-01-09,7.412,16116045
2019-01-10,7.48,12605972
2019-01-11,7.456,13169223
2019-01-14,7.462,11880337
2019-01-15,7.486,14543902
2019-01-16,8.114,22035726
2019-01-17,7.782,21953940
2019-01-18,7.998,22233612
2019-01-21,7.982,7400753
2019-01-22,7.86,12541871
2019-01-23,7.973,13406241
2019-01-24,7.822,16799381
2019-01-25,8.131,14842853
2019-01-28,8.057,12339175
2019-01-29,8.113,9886404
2019-01-30,8.065,10153936
2019-01-31,7.746,24312600
2019-02-01,7.7,22001906
2019-02-04,7.656,12819977
2019-02-05,7.796,11101627
2019-02-06,7.893,10354726
2019-02-07,7.393,21078184
2019-02-08,7.198,16428663
2019-02-11,7.371,10665909
2019-02-12,7.53,9800316
2019-02-13,7.573,9078025
2019-02-14,7.38,11978071
2019-02-15,7.722,20472845
2019-02-18,7.756,6704128
2019-02-19,7.593,11726663
2019-02-20,7.689,8412495
2019-02-21,7.66,9996167
2019-02-22,7.622,9425768
2019-02-25,7.746,9033756
2019-02-26,7.828,9891912
2019-02-27,7.984,16053429
2019-02-28,8.161,16752077
2019-03-01,8.173,12310924
2019-03-04,8.132,7954225
2019-03-05,8.063,10832771
2019-03-06,8.172,10912101
2019-03-07,7.753,21018346
2019-03-08,7.679,13726627
2019-03-11,8.06,18769859
2019-03-12,7.858,16931576
2019-03-13,7.959,8635215
2019-03-14,7.889,9956148
2019-03-15,7.816,21954008
2019-03-18,8.14,24311004
2019-03-19,8.022,14996217
2019-03-20,7.754,13934999
2019-03-21,7.436,18448161
2019-03-22,7.277,18376375
2019-03-25,7.225,12408848
2019-03-26,7.305,12792264
2019-03-27,7.514,17957142
2019-03-28,7.257,18128926
2019-03-29,7.26,12195197
2019-04-01,7.526,14269978
2019-04-02,7.578,10518200
2019-04-03,7.645,14507731
2019-04-04,7.582,17028157
2019-04-05,7.492,12984285
2019-04-08,7.349,13066278
2019-04-09,7.295,10127018
2019-04-10,7.242,11236690
2019-04-11,7.452,16963108
2019-04-12,7.615,17985219
2019-04-15,7.648,9626787
2019-04-16,7.775,10503463
2019-04-17,7.825,13355114
2019-04-18,7.783,14675634
2019-04-23,7.658,11840093
2019-04-24,7.592,12229468
2019-04-25,7.479,27855443
2019-04-26,7.341,25857045
2019-04-29,7.395,16399913
2019-04-30,7.369,10006605
2019-05-02,7.389,13809271
2019-05-03,7.346,9838325
2019-05-06,7.2,12516254
2019-05-07,7.017,16541635
2019-05-08,7.04,13986738
2019-05-09,6.86,18138946
2019-05-10,6.942,14706367
2019-05-13,6.804,12614104
2019-05-14,6.888,10283481
2019-05-15,6.844,14955713
2019-05-16,6.912,11917061
2019-05-17,6.843,14570135
2019-05-20,6.645,17464904
2019-05-21,6.71,14207764
2019-05-22,6.615,13343412
2019-05-23,6.457,23193778
2019-05-24,6.367,13011441
