"Ngày","Lần cuối","Mở","Cao","Thấp","% Thay đổi"
"19/07/2023","93.03","93.03","93.03","93.03","-1.06%"
"18/07/2023","94.03","94.03","94.03","92.52","5.57%"
"17/07/2023","89.07","89.07","94.01","89.07","-1.10%"
"14/07/2023","90.06","90.06","90.06","89.53","-1.64%"
"13/07/2023","91.56","91.56","91.56","91.56","-1.06%"
"12/07/2023","92.54","92.54","92.54","92.54","-8.37%"
"11/07/2023","100.99","100.99","100.99","100.99","-1.45%"
"10/07/2023","102.48","102.48","102.48","100.49","1.48%"
"07/07/2023","100.99","100.99","102.24","100.99","2.01%"
"06/07/2023","99.00","99.00","101.49","99.00","0.00%"
"05/07/2023","99.00","99.00","99.00","99.00","1.01%"
"04/07/2023","98.01","98.01","98.50","98.01","-1.00%"
"03/07/2023","99.00","99.00","99.00","98.00","0.00%"
"30/06/2023","99.00","99.00","99.50","99.00","-1.00%"
"29/06/2023","100.00","100.00","100.00","100.00","-0.98%"
"28/06/2023","100.99","100.99","100.99","100.50","-0.48%"
"27/06/2023","101.48","101.48","101.99","101.48","-0.01%"
"26/06/2023","101.49","101.49","102.24","101.49","1.49%"
"23/06/2023","100.00","100.00","102.24","100.00","1.01%"
"22/06/2023","99.00","99.00","100.00","99.00","-7.43%"
"21/06/2023","106.95","106.95","106.95","99.50","0.00%"
"20/06/2023","106.95","106.95","106.95","105.97","1.41%"
"19/06/2023","105.46","105.46","105.98","105.46","-1.40%"
"16/06/2023","106.96","106.96","106.96","105.23","0.94%"
"15/06/2023","105.96","105.96","108.48","105.96","-0.93%"
"14/06/2023","106.96","106.96","106.96","106.48","0.48%"
"13/06/2023","106.45","106.45","106.45","105.98","-4.03%"
"12/06/2023","110.92","110.92","110.92","105.72","-2.64%"
"09/06/2023","113.93","113.93","113.93","110.46","-0.02%"
"08/06/2023","113.95","113.95","113.95","113.47","-0.85%"
"07/06/2023","114.93","114.93","114.93","114.48","-2.55%"
"06/06/2023","117.94","117.94","117.94","114.96","-1.69%"
"05/06/2023","119.97","119.97","119.97","117.98","-2.03%"
"02/06/2023","122.45","122.45","122.45","119.99","-3.90%"
"01/06/2023","127.42","127.42","127.42","122.96","2.84%"
"31/05/2023","123.90","123.90","125.18","123.90","1.61%"
"30/05/2023","121.94","121.94","121.94","121.93","-0.01%"
"29/05/2023","121.95","121.95","122.71","121.95","-3.19%"
"26/05/2023","125.97","125.97","125.97","122.73","-4.91%"
"25/05/2023","132.47","132.47","132.47","126.49","5.17%"
"24/05/2023","125.96","125.96","131.22","125.96","-21.35%"
"23/05/2023","160.16","160.16","160.16","122.98","-2.99%"
"22/05/2023","165.10","165.10","165.10","160.05","-5.34%"
"19/05/2023","174.41","174.41","174.41","162.58","-8.00%"
"18/05/2023","189.58","189.58","189.58","186.53","7.00%"
"17/05/2023","177.18","177.18","186.25","177.18","-0.02%"
"16/05/2023","177.21","177.21","186.23","177.21","-0.02%"
"15/05/2023","177.25","177.25","186.22","177.25","-0.02%"
"12/05/2023","177.28","186.19","186.20","177.28","-0.02%"
"11/05/2023","177.32","177.32","186.19","177.32","-4.75%"
"10/05/2023","186.17","177.30","186.17","177.30","0.01%"
"09/05/2023","186.16","177.27","186.16","177.27","5.03%"
"08/05/2023","177.24","177.24","177.24","177.16","0.05%"
"05/05/2023","177.15","180.26","180.26","177.15","1.12%"
"04/05/2023","175.18","175.18","181.00","175.18","0.01%"
"03/05/2023","175.17","175.17","175.17","175.06","2.81%"
"02/05/2023","170.38","170.38","175.08","170.38","0.12%"
"01/05/2023","170.18","170.18","170.18","170.09","-11.76%"
"28/04/2023","192.85","192.85","192.85","170.04","10.01%"
"27/04/2023","175.31","175.31","175.31","172.94","1.54%"
"26/04/2023","172.65","172.65","175.09","172.65","1.39%"
"25/04/2023","170.29","170.29","172.77","170.29","-2.86%"
"24/04/2023","175.31","175.31","175.31","171.68","0.65%"
"21/04/2023","174.17","180.34","180.34","174.17","-1.24%"
"20/04/2023","176.36","176.36","176.36","175.14","-0.04%"
"19/04/2023","176.43","176.43","176.43","176.43","-3.53%"
"18/04/2023","182.89","182.89","182.89","182.89","-1.38%"
"17/04/2023","185.45","185.45","185.45","185.45","-2.59%"
"14/04/2023","190.38","190.38","190.38","190.38","-1.30%"
"13/04/2023","192.89","192.89","192.89","192.89","0.01%"
"12/04/2023","192.87","192.87","192.87","192.87","-5.01%"
"11/04/2023","203.04","203.04","203.04","203.04","0.07%"
"10/04/2023","202.90","202.90","202.90","202.90","-0.08%"
"07/04/2023","203.07","203.07","203.07","203.07","-1.13%"
"06/04/2023","205.40","205.40","205.40","205.40","5.24%"
"05/04/2023","195.16","195.16","195.16","195.16","2.58%"
"04/04/2023","190.25","190.25","190.25","190.25","-0.06%"
"03/04/2023","190.36","190.36","190.36","190.36","-5.14%"
"31/03/2023","200.67","200.67","200.67","200.67","-2.35%"
"30/03/2023","205.49","205.49","205.49","205.49","-10.89%"
"29/03/2023","230.59","230.59","230.59","230.59","-2.05%"
"28/03/2023","235.41","235.41","235.41","235.41","2.34%"
"27/03/2023","230.03","230.03","230.03","230.03","0.17%"
"24/03/2023","229.64","229.64","229.64","229.64","6.85%"
"23/03/2023","214.91","214.91","214.91","214.91","-7.66%"
"22/03/2023","232.73","232.73","232.73","232.73","-1.52%"
"21/03/2023","236.33","236.33","236.33","236.33","-36.03%"
"20/03/2023","369.43","369.43","369.43","369.43","-65.40%"
"17/03/2023","1067.71","1067.71","1067.71","1067.71","5.90%"
"16/03/2023","1008.21","1008.21","1008.21","1008.21","-20.40%"
"15/03/2023","1266.59","1266.59","1266.59","1266.59","198.74%"
"14/03/2023","423.97","423.97","423.97","423.97","0.01%"
"13/03/2023","423.94","423.94","423.94","423.94","9.41%"
"10/03/2023","387.49","387.49","421.15","387.49","3.63%"
"09/03/2023","373.93","373.93","386.74","373.93","1.36%"
"08/03/2023","368.93","368.93","373.01","368.93","2.15%"
"07/03/2023","361.17","361.17","364.26","361.17","0.84%"
"06/03/2023","358.17","360.17","360.17","358.17","0.85%"
"03/03/2023","355.15","353.36","355.15","353.36","1.71%"
"02/03/2023","349.18","342.86","349.18","342.86","2.29%"
"01/03/2023","341.36","344.78","344.78","341.36","-1.08%"
"28/02/2023","345.09","346.11","346.11","345.09","-0.85%"
