"Ngày","Lần cuối","Mở","Cao","Thấp","KL","% Thay đổi"
"31/12/2024","227.43","228.03","228.34","226.43","36.15K","-0.31%"
"30/12/2024","228.14","228.88","229.34","227.13","34.86K","-0.43%"
"27/12/2024","229.13","230.03","230.50","228.55","46.74K","-0.33%"
"26/12/2024","229.90","229.75","230.87","228.96","40.62K","0.04%"
"25/12/2024","229.81","227.53","230.90","225.52","66.94K","0.63%"
"24/12/2024","228.36","228.13","228.86","226.56","51.35K","-0.07%"
"23/12/2024","228.51","226.43","228.59","226.37","52.89K","0.63%"
"20/12/2024","227.07","227.53","227.96","226.85","45.77K","-0.21%"
"19/12/2024","227.54","227.36","227.54","225.49","58.75K","0.05%"
"18/12/2024","227.43","226.55","227.53","226.13","38.96K","0.24%"
"17/12/2024","226.89","227.04","227.48","226.54","28.23K","-0.07%"
"16/12/2024","227.04","226.84","227.78","225.86","35.60K","0.02%"
"13/12/2024","227.00","228.00","228.20","226.36","39.42K","-0.43%"
"12/12/2024","227.99","227.99","228.94","226.92","46.29K","-0.08%"
"11/12/2024","228.18","228.81","229.92","227.59","44.47K","-0.46%"
"10/12/2024","229.24","229.07","230.19","228.76","45.22K","0.01%"
"09/12/2024","229.21","228.82","230.13","228.48","48.99K","0.12%"
"06/12/2024","228.93","229.60","230.99","228.65","62.22K","-0.29%"
"05/12/2024","229.60","223.73","229.60","223.45","84.37K","2.22%"
"04/12/2024","224.62","225.22","225.99","224.15","47.98K","-0.30%"
"03/12/2024","225.29","225.32","226.33","224.89","44.64K","-0.01%"
"02/12/2024","225.32","225.67","226.30","224.54","33.61K","0.30%"
"29/11/2024","224.64","223.20","224.65","223.20","43.05K","0.48%"
"28/11/2024","223.57","221.60","224.56","221.60","31.54K","0.22%"
"27/11/2024","223.09","223.46","224.09","220.13","30.82K","-0.27%"
"26/11/2024","223.70","222.14","224.18","221.33","43.70K","0.65%"
"25/11/2024","222.25","221.29","222.53","220.17","34.67K","0.43%"
"22/11/2024","221.29","221.65","222.25","220.65","44.15K","-0.21%"
"21/11/2024","221.76","220.97","222.03","219.61","25.54K","0.21%"
"20/11/2024","221.29","219.19","222.40","216.77","51.82K","0.73%"
"19/11/2024","219.68","221.67","222.35","219.41","32.32K","-0.95%"
"18/11/2024","221.79","220.39","222.05","219.15","53.03K","0.12%"
"15/11/2024","221.53","223.82","224.03","220.72","61.08K","-1.02%"
"14/11/2024","223.82","226.11","226.71","223.67","45.27K","-1.06%"
"13/11/2024","226.21","226.69","226.69","224.49","41.36K","-0.21%"
"12/11/2024","226.69","226.86","228.13","225.88","38.52K","-0.07%"
"11/11/2024","226.86","226.77","227.26","225.89","49.56K","-0.01%"
"08/11/2024","226.88","227.46","228.13","226.35","44.62K","-0.27%"
"07/11/2024","227.49","226.92","228.72","226.92","40.58K","-0.12%"
"06/11/2024","227.76","223.71","227.87","223.71","41.20K","1.29%"
"05/11/2024","224.86","224.37","224.98","224.18","26.64K","0.18%"
"04/11/2024","224.45","225.41","225.43","223.40","36.10K","-0.43%"
"01/11/2024","225.41","226.35","226.39","224.56","38.21K","-0.42%"
"31/10/2024","226.36","225.99","226.81","224.62","35.99K","0.21%"
"30/10/2024","225.88","225.22","226.57","224.63","40.53K","0.14%"
"29/10/2024","225.56","224.59","226.06","224.25","37.14K","0.43%"
"28/10/2024","224.59","223.94","225.21","222.73","35.41K","-0.02%"
"25/10/2024","224.63","224.69","225.48","224.12","36.27K","-0.03%"
"24/10/2024","224.69","225.61","227.04","224.13","34.61K","-0.80%"
"23/10/2024","226.50","225.20","226.51","224.71","40.07K","0.44%"
"22/10/2024","225.50","227.25","227.84","224.82","52.81K","-0.85%"
"21/10/2024","227.43","228.49","229.37","227.24","42.14K","-0.78%"
"18/10/2024","229.21","228.41","230.69","227.04","34.79K","-0.40%"
"17/10/2024","230.12","226.89","230.12","226.55","50.09K","0.81%"
"16/10/2024","228.26","228.83","229.37","227.84","33.53K","-0.30%"
"15/10/2024","228.95","230.72","231.47","228.45","50.97K","-0.77%"
"14/10/2024","230.72","231.24","232.45","230.38","38.41K","-0.28%"
"11/10/2024","231.37","231.29","231.77","230.75","40.02K","0.03%"
"10/10/2024","231.29","231.17","232.87","229.16","43.51K","-0.21%"
"09/10/2024","231.77","231.53","232.33","230.52","41.75K","0.11%"
"08/10/2024","231.52","231.62","233.23","229.46","65.33K","-0.41%"
"07/10/2024","232.47","232.66","233.90","230.92","40.50K","-0.09%"
"04/10/2024","232.67","233.35","234.03","232.56","52.07K","-0.29%"
"03/10/2024","233.35","235.04","235.82","232.44","70.04K","-0.72%"
"02/10/2024","235.05","236.05","236.19","234.29","53.65K","-0.42%"
"01/10/2024","236.05","234.86","237.45","234.53","78.39K","0.49%"
"30/09/2024","234.91","235.66","236.02","234.33","52.65K","-0.34%"
"27/09/2024","235.71","236.05","237.18","235.23","64.73K","-0.09%"
"26/09/2024","235.92","235.49","236.42","234.04","51.31K","0.03%"
"25/09/2024","235.84","232.61","236.17","231.77","71.63K","0.65%"
"24/09/2024","234.32","233.41","234.34","232.76","40.31K","0.40%"
"23/09/2024","233.38","234.31","234.74","233.13","41.37K","-0.39%"
"20/09/2024","234.30","233.77","235.70","233.13","57.08K","0.23%"
"19/09/2024","233.77","230.98","233.78","229.27","42.42K","0.35%"
"18/09/2024","232.95","232.30","233.67","229.66","57.26K","0.28%"
"17/09/2024","232.30","229.59","232.40","229.05","45.04K","0.63%"
"16/09/2024","230.84","232.42","232.97","230.15","39.49K","-0.68%"
"13/09/2024","232.42","231.01","232.61","228.84","43.45K","0.22%"
"12/09/2024","231.90","231.11","232.83","229.41","34.37K","0.19%"
"11/09/2024","231.45","231.60","231.92","229.78","38.59K","-0.10%"
"10/09/2024","231.69","232.56","234.50","230.85","51.40K","-0.76%"
"09/09/2024","233.46","234.49","234.76","232.45","52.09K","-0.51%"
"06/09/2024","234.65","234.95","235.06","232.25","43.75K","-0.13%"
"05/09/2024","234.96","236.14","237.10","234.08","42.99K","-0.50%"
"04/09/2024","236.14","237.58","237.58","235.09","48.54K","-0.60%"
"30/08/2024","237.56","237.87","238.43","236.68","48.41K","-0.13%"
"29/08/2024","237.88","237.93","238.74","234.52","33.58K","-0.15%"
"28/08/2024","238.23","237.50","239.24","236.67","54.07K","-0.28%"
"27/08/2024","238.91","238.02","239.53","235.88","44.58K","-0.03%"
"26/08/2024","238.97","240.30","241.80","238.83","55.50K","-0.46%"
"23/08/2024","240.07","240.29","240.29","237.01","64.92K","0.67%"
"22/08/2024","238.47","237.46","239.00","235.63","59.04K","0.02%"
"21/08/2024","238.42","236.41","238.42","236.38","57.14K","0.47%"
"20/08/2024","237.31","235.83","237.96","233.89","68.19K","0.55%"
"19/08/2024","236.01","234.84","236.65","233.55","52.91K","0.37%"
"16/08/2024","235.15","227.20","235.18","226.68","86.91K","2.89%"
"15/08/2024","228.54","229.67","229.93","227.08","35.97K","-0.50%"
