time,close,Volume
1996-01-31,70.97,NaN
1996-02-29,71.29,NaN
1996-03-31,71.54,NaN
1996-04-30,71.66,NaN
1996-05-31,71.83,NaN
1996-06-30,71.84,NaN
1996-07-31,71.84,NaN
1996-08-31,71.8,NaN
1996-09-30,71.93,NaN
1996-10-31,72,NaN
1996-11-30,72.01,NaN
1996-12-31,72.19,NaN
1997-01-31,72.42,NaN
1997-02-28,72.59,NaN
1997-03-31,72.65,NaN
1997-04-30,72.6,NaN
1997-05-31,72.8,NaN
1997-06-30,72.83,NaN
1997-07-31,72.9,NaN
1997-08-31,73.02,NaN
1997-09-30,73.07,NaN
1997-10-31,73.09,NaN
1997-11-30,73.18,NaN
1997-12-31,73.26,NaN
1998-01-31,73.2,NaN
1998-02-28,73.4,NaN
1998-03-31,73.46,NaN
1998-04-30,73.61,NaN
1998-05-31,73.76,NaN
1998-06-30,73.8,NaN
1998-07-31,73.83,NaN
1998-08-31,73.85,NaN
1998-09-30,73.79,NaN
1998-10-31,73.77,NaN
1998-11-30,73.77,NaN
1998-12-31,73.81,NaN
1999-01-31,73.76,NaN
1999-02-28,73.94,NaN
1999-03-31,74.15,NaN
1999-04-30,74.4,NaN
1999-05-31,74.45,NaN
1999-06-30,74.45,NaN
1999-07-31,74.58,NaN
1999-08-31,74.67,NaN
1999-09-30,74.71,NaN
1999-10-31,74.74,NaN
1999-11-30,74.84,NaN
1999-12-31,75.09,NaN
2000-01-31,75.13,NaN
2000-02-29,75.37,NaN
2000-03-31,75.6,NaN
2000-04-30,75.67,NaN
2000-05-31,75.76,NaN
2000-06-30,76.04,NaN
2000-07-31,76.14,NaN
2000-08-31,76.2,NaN
2000-09-30,76.5,NaN
2000-10-31,76.52,NaN
2000-11-30,76.68,NaN
2000-12-31,76.96,NaN
2001-01-31,76.63,NaN
2001-02-28,76.86,NaN
2001-03-31,77.27,NaN
2001-04-30,77.73,NaN
2001-05-31,78.1,NaN
2001-06-30,78.21,NaN
2001-07-31,78.03,NaN
2001-08-31,77.97,NaN
2001-09-30,78.18,NaN
2001-10-31,78.24,NaN
2001-11-30,78.19,NaN
2001-12-31,78.54,NaN
2002-01-31,78.63,NaN
2002-02-28,78.76,NaN
2002-03-31,79.21,NaN
2002-04-30,79.56,NaN
2002-05-31,79.71,NaN
2002-06-30,79.67,NaN
2002-07-31,79.59,NaN
2002-08-31,79.64,NaN
2002-09-30,79.84,NaN
2002-10-31,80.03,NaN
2002-11-30,79.97,NaN
2002-12-31,80.36,NaN
2003-01-31,80.3,NaN
2003-02-28,80.62,NaN
2003-03-31,81.08,NaN
2003-04-30,81.21,NaN
2003-05-31,81.15,NaN
2003-06-30,81.25,NaN
2003-07-31,81.13,NaN
2003-08-31,81.25,NaN
2003-09-30,81.54,NaN
2003-10-31,81.66,NaN
2003-11-30,81.7,NaN
2003-12-31,81.95,NaN
2004-01-31,81.75,NaN
2004-02-29,81.94,NaN
2004-03-31,82.46,NaN
2004-04-30,82.88,NaN
2004-05-31,83.14,NaN
2004-06-30,83.18,NaN
2004-07-31,83,NaN
2004-08-31,83.17,NaN
2004-09-30,83.26,NaN
2004-10-31,83.59,NaN
2004-11-30,83.53,NaN
2004-12-31,83.85,NaN
2005-01-31,83.32,NaN
2005-02-28,83.62,NaN
2005-03-31,84.25,NaN
2005-04-30,84.6,NaN
2005-05-31,84.78,NaN
2005-06-30,84.87,NaN
2005-07-31,84.78,NaN
2005-08-31,84.98,NaN
2005-09-30,85.42,NaN
2005-10-31,85.64,NaN
2005-11-30,85.45,NaN
2005-12-31,85.74,NaN
2006-01-31,85.35,NaN
2006-02-28,85.59,NaN
2006-03-31,86.09,NaN
2006-04-30,86.66,NaN
2006-05-31,86.89,NaN
2006-06-30,86.96,NaN
2006-07-31,86.85,NaN
2006-08-31,86.93,NaN
2006-09-30,86.93,NaN
2006-10-31,87,NaN
2006-11-30,87.03,NaN
2006-12-31,87.37,NaN
2007-01-31,86.92,NaN
