time,Provision for credit losses,Non-accrual loans / Gross loans,Gross impaired loans / Gross loans,Allowance for credit losses / Gross loans,Loan-to-Deposit Ratio (LDR),Liquidity Coverage Ratio (LCR),CET1 ratio,Tier 1 leverage ratio,Cost/income ratio,Return on Equity (ROE)
2020-10-01,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-02,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-03,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-04,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-05,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-06,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-07,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-08,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-09,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-10,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-11,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-12,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-13,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-14,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-15,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-16,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-17,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-18,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-19,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-20,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-21,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-22,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-23,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-24,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-25,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-26,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-27,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-28,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-29,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-30,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-10-31,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-01,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-02,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-03,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-04,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-05,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-06,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-07,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-08,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-09,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-10,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-11,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-12,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-13,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-14,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-15,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-16,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-17,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-18,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-19,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-20,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-21,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-22,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-23,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-24,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-25,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-26,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-27,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-28,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-29,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-11-30,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-01,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-02,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-03,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-04,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-05,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-06,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-07,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-08,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-09,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-10,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-11,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-12,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-13,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-14,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-15,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-16,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-17,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-18,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-19,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-20,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-21,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-22,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-23,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-24,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-25,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-26,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-27,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-28,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-29,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-30,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2020-12-31,94.0,0.008,0.012,0.006,0.76,1.9,0.13,0.063,0.827,0.048
2021-01-01,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-02,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-03,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-04,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-05,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-06,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-07,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-08,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-09,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-10,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-11,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-12,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-13,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-14,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-15,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-16,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-17,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
2021-01-18,138.0,0.007,0.011,0.005,0.75,1.9,0.129,0.064,0.99,-0.032
